"Species","IUCNstatus"
"Brexia australis","Threatened"
"Bridelia brideliifolia","Not Threatened"
"Bridelia duvigneaudii","Not Evaluated"
"Brosimum glaziovii","Threatened"
"Brunfelsia australis","Not Threatened"
"Brunfelsia pauciflora","Not Threatened"
"Buchanania reticulata","Not Evaluated"
"Buchanania siamensis","Not Evaluated"
"Bullockia impressinervia","Threatened"
"Bullockia mombazensis","Not Evaluated"
"Bunchosia pallescens","Not Threatened"
"Burttia prunoides","Not Threatened"
"Bussea massaiensis","Not Threatened"
"Butia capitata","Not Evaluated"
"Butia eriospatha","Vulnerable"
"Butia odorata","Not Evaluated"
"Butia paraguayensis","Not Threatened"
"Butia purpurascens","Vulnerable"
"Butia yatay","Not Evaluated"
"Buxus calcarea","Threatened"
"Buxus obtusifolia","Vulnerable"
"Byrsonima affinis","Not Threatened"
"Byrsonima basiloba","Not Threatened"
"Byrsonima decipiens","Not Evaluated"
"Byrsonima grisebachiana","Not Evaluated"
"Byrsonima guilleminiana","Not Threatened"
"Byrsonima ligustrifolia","Not Threatened"
"Byrsonima myricifolia","Not Threatened"
"Byrsonima salzmanniana","Not Threatened"
"Cadaba kirkii","Not Threatened"
"Cadia pedicellata","Vulnerable"
"Caesalpinia barahonensis","Not Evaluated"
"Calamus siamensis","Not Threatened"
"Calliandra foliolosa","Not Evaluated"
"Calliandra tweediei","Not Threatened"
"Callianthe lanata","Not Evaluated"
"Callianthe picta","Not Evaluated"
"Callisthene inundata","Not Evaluated"
"Callisthene mollissima","Not Threatened"
"Calycolpus sessiliflorus","Not Evaluated"
"Campomanesia guazumifolia","Not Threatened"
"Campomanesia neriiflora","Vulnerable"
"Campomanesia phaea","Vulnerable"
"Campomanesia prosthecesepala","DD"
"Campomanesia reitziana","Not Threatened"
"Campomanesia rufa","DD"
"Campomanesia sessiliflora","Not Evaluated"
"Campomanesia xanthocarpa","Not Evaluated"
"Camptolepis ramiflora","Vulnerable"
"Cananga latifolia","Not Evaluated"
"Canarium sikkimense","Not Evaluated"
"Canarium strictum","Not Evaluated"
"Canthium coffeoides","Not Evaluated"
"Canthium coromandelicum","Not Evaluated"
"Canthium glaucum","Not Threatened"
"Canthium oligocarpum","Not Threatened"
"Cantinoa duplicatodentata","Not Threatened"
"Capparis olacifolia","Not Evaluated"
"Capparis tenera","Not Evaluated"
"Carapa grandiflora","Not Threatened"
"Carpolobia goetzei","Not Threatened"
"Caryodendron janeirense","Not Threatened"
"Casearia battiscombei","Not Evaluated"
"Casearia michelsonii","Threatened"
"Casearia paranaensis","Not Threatened"
"Casearia runssorica","Not Evaluated"
"Casearia rupestris","Not Threatened"
"Casearia thwaitesii","Not Evaluated"
"Cassia abbreviata","Not Threatened"
"Cassia leptophylla","Not Threatened"
"Cassipourea celastroides","Not Threatened"
"Cassipourea leptoneura","Threatened"
"Cassipourea ndando","Vulnerable"
"Castanopsis cambodiana","Not Evaluated"
"Castanopsis namdinhensis","Not Evaluated"
"Castanopsis pierrei","Not Evaluated"
"Castanopsis piriformis","Not Evaluated"
"Castela tweediei","Not Evaluated"
"Catunaregam taylorii","Not Threatened"
"Ceiba jasminodora","Not Evaluated"
"Ceiba pubiflora","Not Threatened"
"Celtis chichape","Not Threatened"
"Celtis tala","Not Threatened"
"Centrolobium tomentosum","Not Evaluated"
"Cephalanthus glabratus","Not Threatened"
"Cereus hildmannianus","Not Threatened"
"Cestrum bracteatum","Not Threatened"
"Cestrum capsulare","Not Evaluated"
"Cestrum corcovadense","Not Threatened"
"Cestrum euanthes","Not Evaluated"
"Cestrum intermedium","Not Threatened"
"Cestrum montanum","Not Evaluated"
"Chamaecrista chaetostegia","Not Evaluated"
"Chamaecrista dumalis","Not Evaluated"
"Chamaecrista machaeriifolia","Not Threatened"
"Chamaecrista orbiculata","Not Threatened"
"Chamaecrista paniculata","Not Evaluated"
"Chamaecrista pilicarpa","Not Evaluated"
"Chassalia albiflora","Vulnerable"
"Chassalia discolor","Not Threatened"
"Chassalia kenyensis","Vulnerable"
"Chassalia parvifolia","Not Threatened"
"Chassalia umbraticola","Not Threatened"
"Chionanthus crassifolius","Not Evaluated"
"Chionanthus filiformis","Not Threatened"
"Chionanthus microstigma","Not Evaluated"
"Chionanthus subsessilis","Threatened"
"Chionanthus thorelii","Not Evaluated"
"Chionanthus trichotomus","Not Evaluated"
"Chionanthus zeylanicus","Not Evaluated"
"Chloroleucon tortum","Threatened"
"Chloroxylon falcatum","Threatened"
"Chloroxylon swietenia","Vulnerable"
"Chomelia bella","Not Evaluated"
"Chomelia brasiliana","Not Threatened"
"Chomelia estrellana","Threatened"
"Chomelia kirkbridei","Not Evaluated"
"Chomelia rauwolfioides","Not Threatened"
"Christiana macrodon","Threatened"
"Chrysophyllum viride","Not Threatened"
"Chytranthus obliquinervis","Vulnerable"
"Cinnamodendron axillare","Threatened"
"Cinnamodendron dinisii","Not Threatened"
"Cinnamomum caryophyllus","Not Threatened"
"Cinnamomum hatschbachii","Threatened"
"Cinnamomum haussknechtii","Not Evaluated"
"Cinnamomum loureiroi","Threatened"
"Cinnamomum polyadelphum","Not Threatened"
"Cinnamomum tetragonum","Vulnerable"
"Cinnamomum wightii","Threatened"
"Citharexylum montevidense","Not Threatened"
"Citharexylum solanaceum","Not Threatened"
"Citronella engleriana","Not Evaluated"
"Citronella gongonha","Not Threatened"
"Citronella paniculata","Not Evaluated"
"Citropsis daweana","Not Threatened"
"Citrus lucida","Not Evaluated"
"Cleistanthus suarezensis","Threatened"
"Clerodendrum rotundifolium","Not Evaluated"
"Clusia burchellii","Threatened"
"Clusia gardneri","Not Evaluated"
"Clusia organensis","Not Evaluated"
"Clutia kilimandscharica","Not Evaluated"
"Cnestis mildbraedii","Vulnerable"
"Coccoloba argentinensis","Not Evaluated"
"Coccoloba cordata","Not Evaluated"
"Coccoloba cujabensis","Not Evaluated"
"Coccoloba salicifolia","Not Threatened"
"Coccoloba warmingii","Not Threatened"
"Cochlospermum angolense","Not Evaluated"
"Cochlospermum tetraporum","Threatened"
"Coffea eugenioides","Not Threatened"
"Coffea kimbozensis","Threatened"
"Coffea kivuensis","Threatened"
"Coffea mogenetii","Threatened"
"Coffea mongensis","Threatened"
"Coffea mufindiensis","Not Threatened"
"Coffea pocsii","Threatened"
"Coffea pseudozanguebariae","Not Threatened"
"Coffea sessiliflora","Not Threatened"
"Coffea togoensis","Threatened"
"Cola anomala","Not Evaluated"
