"Species","IUCNstatus"
"Beilschmiedia tilaranensis","Threatened"
"Beilschmiedia volckii","Not Evaluated"
"Bejaria infundibula","Not Evaluated"
"Bertiera brevithyrsa","Threatened"
"Blakea austin-smithii","Not Evaluated"
"Blakea chlorantha","Not Evaluated"
"Blakea cuprina","Not Threatened"
"Blakea foliacea","Not Threatened"
"Blakea grandiflora","Vulnerable"
"Blakea jativae","Threatened"
"Blakea pauciflora","Not Threatened"
"Blakea setosa","Not Evaluated"
"Blakea storkii","Not Threatened"
"Blakea subbarbata","Not Threatened"
"Blakea wilsoniorum","Not Evaluated"
"Blepharidium guatemalense","Not Threatened"
"Boehmeria excelsa","Not Evaluated"
"Bonellia mucronata","Not Evaluated"
"Bonnetia multinervia","Vulnerable"
"Bonnetia rubicunda","Vulnerable"
"Bonnetia tepuiensis","Not Evaluated"
"Bonnetia wurdackii","Not Threatened"
"Bourreria costaricensis","Not Threatened"
"Bourreria grandicalyx","Threatened"
"Bourreria grayumii","Vulnerable"
"Breonia macrocarpa","Vulnerable"
"Brexia alaticarpa","Vulnerable"
"Brexia marioniae","Vulnerable"
"Bridelia macrocarpa","Not Threatened"
"Brosimum costaricanum","Not Threatened"
"Browneopsis cauliflora","Not Evaluated"
"Browningia altissima","Vulnerable"
"Brunellia costaricensis","Vulnerable"
"Brunellia cuzcoensis","Not Evaluated"
"Brunellia standleyana","Vulnerable"
"Brunfelsia dwyeri","Vulnerable"
"Brunfelsia jamaicensis","Vulnerable"
"Brunfelsia macrocarpa","DD"
"Buchanania mangoides","Not Evaluated"
"Buddleja formosana","Threatened"
"Bunchosia anomala","Threatened"
"Bunchosia costaricensis","Not Evaluated"
"Bunchosia dwyeri","Not Threatened"
"Bunchosia grayumii","Not Evaluated"
"Bunchosia ternata","Not Evaluated"
"Bunchosia ursana","Not Evaluated"
"Bunchosia veluticarpa","Not Evaluated"
"Bunchosia volcanica","Not Evaluated"
"Bursera lunanii","Not Threatened"
"Bursera standleyana","Vulnerable"
"Byrsonima chalcophylla","Not Threatened"
"Byrsonima gymnocalycina","Not Evaluated"
"Byrsonima incarnata","Not Evaluated"
"Byrsonima pachypoda","Not Threatened"
"Byrsonima rubrobracteata","Not Threatened"
"Byrsonima tillettii","Not Threatened"
"Calliandra antioquiae","Not Threatened"
"Calliandra brenesii","Not Threatened"
"Calliandra enervis","Not Evaluated"
"Calliandra grandifolia","Threatened"
"Calliandra mollissima","Vulnerable"
"Callicarpa barbata","Not Threatened"
"Callicarpa glabrifolia","Not Threatened"
"Calocedrus formosana","Threatened"
"Calycolpus cochleatus","Not Evaluated"
"Calycolpus warszewiczianus","Not Threatened"
"Calycophyllum merumense","Not Evaluated"
"Calycophyllum spectabile","Not Evaluated"
"Calyptrogyne costatifrons","Not Threatened"
"Camellia formosensis","Vulnerable"
