"Species","IUCNstatus"
"Bowringia callicarpa","Not Threatened"
"Brassaiopsis bodinieri","Not Evaluated"
"Brassaiopsis ciliata","Not Evaluated"
"Brassaiopsis fatsioides","Not Threatened"
"Brassaiopsis ferruginea","Not Evaluated"
"Brassaiopsis grushvitzkyi","Not Evaluated"
"Brassaiopsis pseudoficifolia","Not Evaluated"
"Bretschneidera sinensis","Threatened"
"Breynia fruticosa","Not Threatened"
"Broussonetia papyrifera","Not Threatened"
"Buchanania axillaris","Not Evaluated"
"Buchanania microphylla","Not Evaluated"
"Buddleja alternifolia","Not Threatened"
"Buddleja megalocephala","Threatened"
"Buddleja officinalis","Not Threatened"
"Buxus megistophylla","Not Threatened"
"Buxus sinica","Not Threatened"
"Caesalpinia barahonensis","Not Evaluated"
"Calamus thysanolepis","Not Evaluated"
"Callicarpa brevipes","Not Threatened"
"Callicarpa dolichophylla","Not Threatened"
"Callicarpa nudiflora","Not Threatened"
"Callicarpa tomentosa","Not Evaluated"
"Calophyllum balansae","Not Evaluated"
"Calophyllum calaba","Not Evaluated"
"Calophyllum membranaceum","Not Evaluated"
"Camellia brevistyla","Not Threatened"
"Camellia caudata","Not Threatened"
"Camellia chekiangoleosa","Not Threatened"
"Camellia costei","Not Threatened"
"Camellia crassicolumna","Not Threatened"
"Camellia cuspidata","Not Threatened"
"Camellia drupifera","DD"
"Camellia edithae","Not Threatened"
"Camellia elongata","Threatened"
"Camellia euryoides","Not Threatened"
"Camellia fluviatilis","Not Threatened"
"Camellia forrestii","Not Threatened"
"Camellia fraterna","Not Threatened"
"Camellia furfuracea","Not Threatened"
"Camellia hongkongensis","Threatened"
"Camellia japonica","Not Threatened"
"Camellia mairei","Not Threatened"
"Camellia oleifera","Not Threatened"
"Camellia pitardii","Not Threatened"
"Camellia reticulata","DD"
"Camellia salicifolia","Not Threatened"
"Camellia subintegra","Not Threatened"
"Camellia synaptica","Not Threatened"
"Camellia tachangensis","Not Threatened"
"Camellia tuberculata","Not Threatened"
"Camellia yunnanensis","Not Threatened"
"Camptotheca acuminata","Not Evaluated"
"Canarium album","Not Evaluated"
"Canarium parvum","Not Evaluated"
"Canarium sikkimense","Not Evaluated"
"Canarium strictum","Not Evaluated"
"Canthium coromandelicum","Not Evaluated"
"Capparis olacifolia","Not Evaluated"
"Capparis tenera","Not Evaluated"
"Caragana korshinskii","Not Evaluated"
"Caragana pekinensis","Not Evaluated"
"Carapa grandiflora","Not Threatened"
"Carpinus chuniana","Not Threatened"
"Carpinus cordata","Not Threatened"
"Carpinus fangiana","Not Threatened"
"Carpinus fargesiana","Not Threatened"
"Carpinus henryana","Not Threatened"
"Carpinus kweichowensis","Not Threatened"
"Carpinus londoniana","Not Threatened"
"Carpinus mollicoma","Not Threatened"
"Carpinus omeiensis","DD"
"Carpinus paohsingensis","DD"
"Carpinus polyneura","Not Threatened"
"Carpinus pubescens","Not Threatened"
"Carpinus shensiensis","Not Threatened"
"Carpinus tschonoskii","Not Threatened"
"Carrierea calycina","Not Threatened"
"Carrierea dunniana","Not Evaluated"
"Caryodaphnopsis bilocellata","Threatened"
"Caryodaphnopsis henryi","Not Evaluated"
"Casearia thwaitesii","Not Evaluated"
"Castanea henryi","Not Evaluated"
"Castanea mollissima","Not Threatened"
"Castanea seguinii","Not Evaluated"
"Castanopsis argentea","Threatened"
"Castanopsis calathiformis","Not Evaluated"
"Castanopsis carlesii","Not Threatened"
"Castanopsis ceratacantha","Not Threatened"
"Castanopsis chinensis","Not Evaluated"
"Castanopsis chunii","Not Evaluated"
"Castanopsis delavayi","Not Threatened"
"Castanopsis eyrei","Not Evaluated"
"Castanopsis faberi","Not Evaluated"
"Castanopsis fargesii","Not Threatened"
"Castanopsis fissa","Not Threatened"
"Castanopsis fordii","Not Threatened"
"Castanopsis formosana","Not Evaluated"
"Castanopsis hainanensis","Not Evaluated"
"Castanopsis hupehensis","Not Threatened"
"Castanopsis jucunda","Not Threatened"
"Castanopsis kawakamii","Not Threatened"
"Castanopsis lamontii","Not Threatened"
"Castanopsis nigrescens","Not Evaluated"
"Castanopsis orthacantha","Not Threatened"
"Castanopsis platyacantha","Not Evaluated"
"Castanopsis schefferiana","Not Evaluated"
"Castanopsis sclerophylla","Not Threatened"
"Castanopsis tibetana","Not Threatened"
"Castanopsis tonkinensis","Not Evaluated"
