"Species","IUCNstatus"
"Chiococca petrina","Not Evaluated"
"Chionanthus brassii","Not Threatened"
"Chionanthus holdridgii","Not Evaluated"
"Chionanthus riparius","Not Threatened"
"Chionanthus sessiliflorus","Not Threatened"
"Chisocheton sapindinus","Not Threatened"
"Chisocheton sayeri","Not Threatened"
"Cinnamomum archboldianum","Not Threatened"
"Cinnamomum clemensii","Not Threatened"
"Cinnamomum eugenoliferum","Not Threatened"
"Cinnamomum frodinii","Threatened"
"Cinnamomum grandiflorum","DD"
"Cinnamomum ledermannii","Not Threatened"
"Cinnamomum podagricum","Not Threatened"
"Citronella vitiensis","Not Evaluated"
"Claoxylon coriaceolanatum","Not Threatened"
"Claoxylon ledermannii","Not Threatened"
"Claoxylon lutescens","Not Threatened"
"Claoxylon microcarpum","Not Threatened"
"Claoxylon muscisilvae","Not Threatened"
"Claoxylon nubicola","Not Threatened"
"Claoxylon papuae","Not Threatened"
"Claoxylon paucinerve","Vulnerable"
"Cleidion macarangoides","Vulnerable"
"Cleidion veillonii","Threatened"
"Cleistanthus insignis","Vulnerable"
"Cleyera velutina","Threatened"
"Clinosperma lanuginosa","Threatened"
"Coccoloba goldmanii","Not Evaluated"
"Coccoloba sintenisii","Not Evaluated"
"Coccothrinax readii","Not Threatened"
"Codia albicans","Not Threatened"
"Codia incrassata","Not Threatened"
"Cola boxiana","Threatened"
"Combretum gillettianum","Threatened"
"Commersonia novoguinensis","Not Threatened"
"Commiphora dalzielii","Threatened"
"Comptonella microcarpa","Not Evaluated"
"Comptonella sessilifoliola","Not Evaluated"
"Conocarpus lancifolius","Not Threatened"
"Coprosma cookei","DD"
"Coprosma papuensis","Not Threatened"
"Cordia gracilipes","Threatened"
"Cordia igualensis","Threatened"
"Cordia seleriana","Not Threatened"
"Cornutia obovata","Threatened"
"Corylus jacquemontii","DD"
"Crescentia portoricensis","Not Evaluated"
"Critonia portoricensis","Not Evaluated"
"Croton morobensis","Not Threatened"
"Croton muriculatus","Not Threatened"
"Croton websteri","Not Evaluated"
"Croton womersleyi","Not Threatened"
"Crudia subsimplicifolia","Not Evaluated"
"Cryptocarya caloneura","Vulnerable"
"Cryptocarya depressa","Not Threatened"
"Cryptocarya fagifolia","Vulnerable"
"Cryptocarya forbesii","Threatened"
"Cryptocarya hartleyi","Threatened"
"Cryptocarya idenburgensis","Not Threatened"
"Cryptocarya ledermannii","Vulnerable"
"Cryptocarya macrodesme","Not Evaluated"
"Cryptocarya massoy","Not Threatened"
"Cryptocarya minutifolia","Not Threatened"
"Cryptocarya multinervis","Not Threatened"
"Cryptocarya multipaniculata","Not Threatened"
"Cryptocarya nothofagetorum","Threatened"
"Cryptocarya oubatchensis","Not Evaluated"
"Cryptocarya velutinosa","Not Evaluated"
"Cryptocarya weinlandii","Not Threatened"
"Cryptocarya xylophylla","Threatened"
"Ctenardisia amplifolia","Not Evaluated"
"Cunonia aoupiniensis","Not Threatened"
"Cunonia pulchella","Not Threatened"
"Cunonia varijuga","Not Threatened"
"Cupaniopsis bilocularis","Not Threatened"
"Cupaniopsis curvidens","Not Threatened"
"Cupaniopsis macropetala","Not Threatened"
"Cupaniopsis phalacrocarpa","Not Evaluated"
"Cupaniopsis platycarpa","Not Threatened"
"Cupaniopsis rhytidocarpa","Threatened"
"Cussonia bancoensis","Vulnerable"
"Cymbopetalum hintonii","Threatened"
"Cynometra minutiflora","Not Threatened"
"Cypholophus decipiens","Not Threatened"
"Cyrtostachys loriae","Not Evaluated"
"Dacrycarpus compactus","Not Threatened"
"Dacrydium xanthandrum","Not Threatened"
"Daphnopsis nevlingii","Vulnerable"
"Decaspermum exiguum","Not Threatened"
"Decaspermum forbesii","Not Threatened"
"Decaspermum neurophyllum","Not Threatened"
"Decaspermum nivale","Not Threatened"
"Decaspermum prunoides","Not Threatened"
"Delarbrea harmsii","Not Evaluated"
"Delarbrea montana","Not Evaluated"
"Dendrocnide carriana","Not Evaluated"
"Dendrocnide corallodesme","Not Threatened"
"Dendrocnide morobensis","Not Threatened"
"Dendrocnide nervosa","Not Threatened"
"Dendrocnide schlechteri","Not Threatened"
"Dendropanax laurifolius","Not Evaluated"
"Deplanchea montana","Not Evaluated"
"Deplanchea sessilifolia","Not Evaluated"
"Dicarpellum paucisepalum","Not Evaluated"
"Dictyoneura obtusa","Not Threatened"
"Dillenia castaneifolia","Not Threatened"
"Dillenia montana","Not Threatened"
"Dillenia nalagi","Threatened"
"Dillenia quercifolia","Not Threatened"
"Dillenia schlechteri","Not Threatened"
"Dimorphanthera amplifolia","Not Threatened"
"Dimorphanthera cornuta","Not Threatened"
"Dimorphanthera elegantissima","Not Threatened"
"Dimorphanthera keysseri","Not Threatened"
"Dimorphanthera macbainii","Not Threatened"
"Dimorphanthera robbinsii","Not Threatened"
"Dimorphanthera womersleyi","Not Threatened"
"Diospyros britannoborneensis","Not Threatened"
"Diospyros consanguinea","Not Evaluated"
"Diospyros flavocarpa","Not Threatened"
"Diospyros gillisonii","Threatened"
"Diospyros labillardierei","Not Threatened"
"Diospyros novoguineensis","Not Threatened"
"Diospyros oubatchensis","Not Threatened"
"Diospyros papuana","Not Threatened"
"Diospyros pulchra","Not Evaluated"
"Diospyros rhododendroides","Threatened"
"Diospyros sintenisii","Threatened"
"Diospyros sogeriensis","Not Threatened"
"Diospyros tireliae","Threatened"
"Diospyros trisulca","Not Threatened"
"Diospyros villosiuscula","Not Threatened"
"Diplycosia pseudorufescens","Not Evaluated"
"Diplycosia viridiflora","Vulnerable"
"Dipterocarpus caudiferus","Not Threatened"
"Discocalyx brassii","Threatened"
"Discocalyx latepetiolata","Not Threatened"
"Disepalum coronatum","Not Evaluated"
"Dolicholobium gertrudis","Not Threatened"
"Dryadodaphne crassa","Not Threatened"
"Dryadodaphne novoguineensis","Not Threatened"
"Drypetes lasiogynoides","Not Threatened"
"Dubouzetia kairoi","Not Threatened"
"Dutaillyea amosensis","Vulnerable"
"Dysoxylum brassii","Not Threatened"
"Dysoxylum brevipaniculum","Not Threatened"
"Dysoxylum enantiophyllum","Not Threatened"
"Dysoxylum hapalanthum","Not Threatened"
"Dysoxylum variabile","Not Threatened"
"Dysoxylum yunzaingense","Not Threatened"
"Elaeocarpus altigenus","Not Threatened"
"Elaeocarpus altisectus","Not Threatened"
"Elaeocarpus amplifolius","Not Threatened"
"Elaeocarpus bakaianus","Vulnerable"
"Elaeocarpus blepharoceras","Not Threatened"
"Elaeocarpus bullatus","Not Threatened"
"Elaeocarpus coloides","Not Threatened"
"Elaeocarpus dasycarpus","Not Threatened"
"Elaeocarpus densiflorus","Not Threatened"
"Elaeocarpus dolichodactylus","Not Threatened"
"Elaeocarpus filiformidentatus","Not Threatened"
"Elaeocarpus finisterrae","Threatened"
"Elaeocarpus fuscoides","Not Threatened"
"Elaeocarpus geminiflorus","Not Threatened"
"Elaeocarpus guillaumii","Not Threatened"
"Elaeocarpus hochreutineri","Not Evaluated"
"Elaeocarpus jugahanus","Not Evaluated"
"Elaeocarpus lingualis","Not Threatened"
"Elaeocarpus marafunganus","Not Threatened"
"Elaeocarpus miegei","Not Threatened"
