"Species","IUCNstatus"
"Acacia pellita","Not Threatened"
"Acacia platycarpa","Not Threatened"
"Acacia polifolia","Not Threatened"
"Acacia polyadenia","Not Evaluated"
"Acacia polystachya","Not Threatened"
"Acacia praelongata","Not Threatened"
"Acacia proiantha","Not Evaluated"
"Acacia pubicosta","Not Evaluated"
"Acacia pubirhachis","Not Threatened"
"Acacia racospermoides","Not Evaluated"
"Acacia rhodoxylon","Not Threatened"
"Acacia rothii","Not Threatened"
"Acacia scopulorum","Not Threatened"
"Acacia seclusa","Not Evaluated"
"Acacia semirigida","Not Threatened"
"Acacia sericata","Not Threatened"
"Acacia sericoflora","Not Threatened"
"Acacia shirleyi","Not Threatened"
"Acacia simsii","Not Threatened"
"Acacia solenota","Not Evaluated"
"Acacia spania","Not Evaluated"
"Acacia sparsiflora","Not Threatened"
"Acacia storyi","Not Evaluated"
"Acacia striatifolia","Not Threatened"
"Acacia tenuinervis","Not Evaluated"
"Acacia tenuispica","Not Threatened"
"Acacia thomsonii","Not Threatened"
"Acacia tingoorensis","Not Evaluated"
"Acacia torulosa","Not Threatened"
"Acacia trinalis","Not Evaluated"
"Acacia tropica","Not Threatened"
"Acacia uncifera","Not Threatened"
"Acacia wardellii","Not Evaluated"
"Acalypha glabrata","Not Threatened"
"Acalypha lyonsii","Not Evaluated"
"Acalypha pubiflora","Not Evaluated"
"Acalypha sonderiana","Not Evaluated"
"Acanthophoenix rubra","Threatened"
"Acer argutum","Not Threatened"
"Acer capillipes","Not Threatened"
"Acer diabolicum","Not Threatened"
"Acer griseum","Threatened"
"Acer heldreichii","Not Threatened"
"Acer hyrcanum","Not Threatened"
"Acer maximowiczianum","Not Threatened"
"Acer sempervirens","Not Threatened"
"Aceratium concinnum","Not Evaluated"
"Aceratium doggrellii","Not Evaluated"
"Aceratium ferrugineum","Not Evaluated"
"Aceratium sericoleopsis","Not Evaluated"
"Acokanthera rotundata","Not Threatened"
"Acridocarpus natalitius","Not Threatened"
"Acritopappus irwinii","Not Evaluated"
"Acronychia aberrans","Not Evaluated"
"Acronychia acidula","Not Threatened"
"Acronychia chooreechillum","Not Evaluated"
"Acronychia crassipetala","Not Evaluated"
"Acronychia eungellensis","Not Evaluated"
"Acronychia imperforata","Not Threatened"
"Acronychia laevis","Not Threatened"
"Acronychia parviflora","Not Threatened"
"Acronychia pauciflora","Not Evaluated"
"Acronychia vestita","Not Evaluated"
"Actephila championiae","Not Evaluated"
"Actephila flavescens","Not Evaluated"
"Actephila lindleyi","Not Threatened"
"Actephila petiolaris","Not Evaluated"
"Actephila sessilifolia","Not Evaluated"
"Adenanthera abrosperma","Not Threatened"
"Aesculus hippocastanum","Vulnerable"
"Afrocanthium gilfillanii","Not Threatened"
"Afrocanthium keniense","Vulnerable"
"Agathis atropurpurea","Not Threatened"
"Agathis microstachya","Not Threatened"
"Aglaia australiensis","Vulnerable"
"Aglaia brownii","Not Threatened"
"Alangium villosum","Not Evaluated"
"Albizia berteroana","Not Evaluated"
"Albizia canescens","Not Threatened"
"Albizia leonardii","Threatened"
"Alectryon coriaceus","Not Threatened"
"Alectryon diversifolius","Not Threatened"
"Alectryon kimberleyanus","DD"
"Alectryon pubescens","Not Threatened"
"Alectryon ramiflorus","Threatened"
"Alectryon tropicus","Not Threatened"
"Allocasuarina fraseriana","Not Threatened"
"Allocasuarina inophloia","Not Threatened"
"Allophylus reticulatus","Not Evaluated"
"Allosyncarpia ternata","DD"
"Alloxylon flammeum","Not Evaluated"
"Alloxylon pinnatum","Vulnerable"
"Alloxylon wickhamii","Not Threatened"
"Aloe ballyi","Threatened"
"Aloe elata","Vulnerable"
"Aloe marlothii","Not Threatened"
"Aloe spectabilis","Not Evaluated"
"Aloe spicata","Not Evaluated"
"Aloidendron barberae","Not Evaluated"
"Alphitonia oblata","Not Threatened"
"Alphitonia petriei","Not Threatened"
"Alphitonia pomaderroides","Not Threatened"
"Alphitonia whitei","Not Threatened"
"Alstonia actinophylla","Not Threatened"
"Alstonia constricta","Not Threatened"
"Alstonia muelleriana","Not Threatened"
"Alvaradoa arborescens","Not Evaluated"
"Alyxia ilicifolia","Not Threatened"
"Alyxia magnifolia","Not Evaluated"
"Amaracarpus nematopodus","Not Evaluated"
"Ampelocera cubensis","Not Evaluated"
"Amyrea sambiranensis","Threatened"
"Amyris lineata","Not Evaluated"
"Andira cubensis","Not Evaluated"
"Annona bullata","Not Evaluated"
"Annona crassivenia","Not Evaluated"
"Annona cristalensis","Vulnerable"
"Annona elliptica","Not Evaluated"
"Annona havanensis","Not Evaluated"
"Annona sclerophylla","Not Evaluated"
"Antirhea ovatifolia","Not Threatened"
"Antirhea putaminosa","Not Threatened"
"Aphananthe philippinensis","Not Threatened"
"Apodytes brachystylis","Not Threatened"
"Aralia plumosa","Not Evaluated"
"Aralia rex","Threatened"
"Arbutus andrachne","Not Threatened"
"Archidendron grandiflorum","Not Threatened"
"Archidendron hendersonii","Not Threatened"
"Archidendron hirsutum","Not Evaluated"
"Archidendron lovelliae","Not Evaluated"
"Archidendron ramiflorum","Not Evaluated"
"Archidendron vaillantii","Not Threatened"
"Archidendron whitei","Not Evaluated"
"Archidendropsis basaltica","Not Threatened"
"Archidendropsis thozetiana","Not Threatened"
