"Species","IUCNstatus"
"Astrotrichilia elegans","Threatened"
"Astrotrichilia masoalensis","Threatened"
"Astrotrichilia parvifolia","Not Threatened"
"Astrotrichilia procera","Threatened"
"Astrotrichilia rakodomena","Threatened"
"Astrotrichilia voamatata","Threatened"
"Atuna nannodes","Not Evaluated"
"Atuna penangiana","Vulnerable"
"Aubregrinia taiensis","Threatened"
"Aulacocalyx divergens","Vulnerable"
"Averrhoa bilimbi","Not Evaluated"
"Averrhoa carambola","Not Evaluated"
"Axinaea tovarii","Not Evaluated"
"Baccaurea bracteata","Not Evaluated"
"Baccaurea brevipes","Not Evaluated"
"Baccaurea javanica","Not Threatened"
"Baccaurea lanceolata","Not Evaluated"
"Baccaurea macrocarpa","Not Evaluated"
"Baccaurea macrophylla","Not Evaluated"
"Baccaurea maingayi","Not Evaluated"
"Baccaurea parviflora","Not Evaluated"
"Baccaurea pyriformis","Not Threatened"
"Baccaurea racemosa","Not Evaluated"
"Baccaurea reticulata","Not Evaluated"
"Baccaurea sumatrana","Not Evaluated"
"Bactris timbuiensis","Not Evaluated"
"Banara portoricensis","Not Evaluated"
"Banksia verticillata","Threatened"
"Baphia puguensis","Threatened"
"Baphia spathacea","Threatened"
"Barringtonia fusiformis","Not Evaluated"
"Barringtonia reticulata","Not Threatened"
"Barringtonia sarcostachys","Not Evaluated"
"Bartholomaea mollis","Threatened"
"Bartholomaea sessiliflora","Threatened"
"Bathiorhamnus macrocarpus","Not Threatened"
"Baudouinia louvelii","Threatened"
"Bauhinia wunderlinii","Not Evaluated"
"Beccariophoenix madagascariensis","Vulnerable"
"Beguea apetala","Not Threatened"
"Beilschmiedia chevalieri","Vulnerable"
"Beilschmiedia cryptocaryoides","DD"
"Beilschmiedia madang","Not Threatened"
"Beilschmiedia maingayi","Not Threatened"
"Beilschmiedia palembanica","Not Threatened"
"Beilschmiedia pedicellata","Vulnerable"
"Beilschmiedia rugosa","Threatened"
"Beilschmiedia sary","Vulnerable"
"Beilschmiedia scintillans","Vulnerable"
"Beilschmiedia sericans","Threatened"
"Beilschmiedia steyermarkii","Threatened"
"Benoistia sambiranensis","Threatened"
"Benstonea affinis","Not Evaluated"
"Benstonea atrocarpa","Not Evaluated"
"Benstonea brevistylis","Not Evaluated"
"Benstonea ornata","Not Evaluated"
"Benstonea parva","Not Evaluated"
"Benstonea rustica","Not Evaluated"
"Berlinia occidentalis","Vulnerable"
"Berlinia orientalis","Vulnerable"
"Berlinia tomentella","Not Evaluated"
"Bertiera brevithyrsa","Threatened"
"Bertiera crinita","Not Threatened"
"Beyeria lanceolata","Not Threatened"
"Bhesa indica","Not Evaluated"
"Bhesa robusta","Not Threatened"
"Blakea latifolia","Not Evaluated"
"Blepharidium guatemalense","Not Threatened"
"Blumeodendron subrotundifolium","Not Threatened"
"Boehmeria excelsa","Not Evaluated"
"Borassodendron borneense","Not Evaluated"
"Boschia griffithii","Not Evaluated"
"Boschia mansonii","Not Evaluated"
"Botryophora geniculata","Not Evaluated"
"Bouea macrophylla","Not Evaluated"
"Brachystegia leonensis","Vulnerable"
"Bremeria humblotii","Not Threatened"
"Bremeria scabridior","Not Threatened"
"Breonia decaryana","Not Threatened"
"Breonia havilandiana","Vulnerable"
"Breonia louvelii","Threatened"
"Breonia lowryi","Vulnerable"
"Breonia macrocarpa","Vulnerable"
"Breonia madagascariensis","Threatened"
"Breonia tayloriana","Vulnerable"
"Brexia alaticarpa","Vulnerable"
"Brexia marioniae","Vulnerable"
"Brexiella cymosa","Vulnerable"
"Breynia coronata","Not Threatened"
"Breynia discigera","Not Threatened"
"Breynia microphylla","Not Threatened"
"Bridelia ovata","Not Evaluated"
"Brochoneura acuminata","Not Threatened"
"Brownlowia peltata","Not Evaluated"
"Brownlowia tersa","Not Threatened"
"Bullockia impressinervia","Threatened"
"Burasaia australis","Vulnerable"
"Bursera itzae","Threatened"
"Bussea occidentalis","Not Threatened"
"Byrsonima euryphylla","DD"
"Calamus modestus","Not Threatened"
"Calantica grandiflora","Not Threatened"
"Callicarpa furfuracea","Not Threatened"
"Callicarpa teneriflora","Vulnerable"
"Caloncoba echinata","Not Threatened"
"Calophyllum chapelieri","Vulnerable"
"Calophyllum fibrosum","Threatened"
"Calophyllum hosei","Not Evaluated"
"Calophyllum humbertii","Not Threatened"
"Calophyllum lanigerum","Not Evaluated"
"Calophyllum macrocarpum","Not Evaluated"
"Calophyllum molle","Not Evaluated"
