Species,AOO
Acacia_harpophylla,2954
Acacia_havilandiorum,1804
Acacia_hemignosta,4153
Acacia_hemsleyi,1085
Acacia_heteroclita,394
Acacia_heterophylla,18
Acacia_holosericea,7252
Acacia_holotricha,115
Acacia_howittii,260
Acacia_hylonoma,61
Acacia_implexa,15427
Acacia_inaequilatera,1254
Acacia_inceana,377
Acacia_incurvaneura,1671
Acacia_ingramii,305
Acacia_inophloia,100
Acacia_intorta,103
Acacia_irrorata,9444
Acacia_islana,62
Acacia_ixodes,555
Acacia_jamesiana,324
Acacia_jasperensis,323
Acacia_jennerae,1058
Acacia_jensenii,192
Acacia_jibberdingensis,568
Acacia_jucunda,556
Acacia_julifera,2342
Acacia_kauaiensis,13
Acacia_kelleri,456
Acacia_kempeana,6684
Acacia_kenneallyi,33
Acacia_kettlewelliae,895
Acacia_koa,266
Acacia_koaia,41
Acacia_lacertensis,216
Acacia_lamprocarpa,7058
Acacia_lasiocalyx,1586
Acacia_latescens,2933
Acacia_latifolia,1413
Acacia_latior,354
Acacia_latzii,129
Acacia_leeuweniana,36
Acacia_legnota,180
Acacia_leiocalyx,5835
Acacia_leiophylla,1916
Acacia_leprosa,1373
Acacia_leptocarpa,4040
Acacia_leptoloba,353
Acacia_leptopetala,658
Acacia_leptostachya,3114
Acacia_leucoclada,1280
Acacia_ligulata,22497
Acacia_ligustrina,361
Acacia_linearifolia,1715
Acacia_linifolia,4770
Acacia_loderi,1185
Acacia_longifolia,21281
Acacia_longiphyllodinea,279
Acacia_longispicata,1434
Acacia_longispinea,1047
Acacia_longissima,2281
Acacia_loroloba,250
Acacia_lunata,490
Acacia_mabellae,1104
Acacia_macdonnellensis,1376
Acacia_maconochieana,194
Acacia_macradenia,527
Acacia_maidenii,7504
Acacia_mangium,1440
Acacia_maranoensis,132
Acacia_marramamba,273
Acacia_masliniana,233
Acacia_matthewii,111
Acacia_mearnsii,10628
Acacia_meiosperma,135
Acacia_melanoxylon,24466
Acacia_melvillei,2327
Acacia_merinthophora,282
Acacia_microbotrya,1652
Acacia_microcybe,127
Acacia_microsperma,298
Acacia_midgleyi,392
Acacia_mimula,1817
Acacia_minyura,1509
Acacia_mollifolia,432
Acacia_montana,2692
Acacia_monticola,3410
Acacia_mountfordiae,153
Acacia_mucronata,2228
Acacia_muelleriana,386
Acacia_mulganeura,938
Acacia_multisiliqua,2452
Acacia_multistipulosa,148
Acacia_murrayana,6552
Acacia_nanodealbata,315
Acacia_neriifolia,3622
Acacia_neurocarpa,1009
Acacia_neurophylla,1121
Acacia_nyssophylla,5604
Acacia_obliquinervia,2656
Acacia_obtusifolia,5777
Acacia_oldfieldii,326
Acacia_olgana,529
Acacia_olsenii,68
Acacia_omalophylla,866
Acacia_ommatosperma,33
Acacia_oraria,620
Acacia_orites,365
Acacia_orthocarpa,1838
Acacia_oshanesii,611
Acacia_oswaldii,17008
Acacia_ouyrarema,0
Acacia_oxycedrus,2076
Acacia_pachyacra,928
Acacia_pachycarpa,342
Acacia_pachyceras,17
Acacia_palustris,154
Acacia_papyrocarpa,4434
Acacia_paradoxa,10739
Acacia_paraneura,1411
Acacia_parramattensis,5304
Acacia_parvipinnula,2743
Acacia_pataczekii,103
Acacia_pedleyi,53
Acacia_pellita,899
Acacia_pendula,4357
Acacia_penninervis,6330
Acacia_pentadenia,664
Acacia_petraea,465
Acacia_peuce,416
Acacia_phlebophylla,83
Acacia_pickardii,119
Acacia_platycarpa,4926
