Species,n
Acacia_heterophylla,4
Acacia_holosericea,1648
Acacia_holotricha,26
Acacia_howittii,67
Acacia_hylonoma,15
Acacia_implexa,4448
Acacia_inaequilatera,289
Acacia_inceana,93
Acacia_incurvaneura,389
Acacia_ingramii,92
Acacia_inophloia,25
Acacia_intorta,25
Acacia_irrorata,2794
Acacia_islana,21
Acacia_ixodes,136
Acacia_jamesiana,76
Acacia_jasperensis,75
Acacia_jennerae,261
Acacia_jensenii,47
Acacia_jibberdingensis,138
Acacia_jucunda,135
Acacia_julifera,566
Acacia_kauaiensis,3
Acacia_kelleri,105
Acacia_kempeana,1782
Acacia_kenneallyi,7
Acacia_kettlewelliae,245
Acacia_koa,65
Acacia_koaia,9
Acacia_lacertensis,52
Acacia_lamprocarpa,1703
Acacia_lasiocalyx,402
Acacia_latescens,733
Acacia_latifolia,332
Acacia_latior,89
Acacia_latzii,33
Acacia_leeuweniana,8
Acacia_legnota,46
Acacia_leiocalyx,1568
Acacia_leiophylla,564
Acacia_leprosa,387
Acacia_leptocarpa,962
Acacia_leptoloba,80
Acacia_leptopetala,171
Acacia_leptostachya,761
Acacia_leucoclada,323
Acacia_ligulata,6142
Acacia_ligustrina,90
Acacia_linearifolia,477
Acacia_linifolia,1739
Acacia_loderi,306
Acacia_longifolia,7166
Acacia_longiphyllodinea,72
Acacia_longispicata,351
Acacia_longispinea,259
Acacia_longissima,659
Acacia_loroloba,62
Acacia_lunata,129
Acacia_mabellae,331
Acacia_macdonnellensis,379
Acacia_maconochieana,44
Acacia_macradenia,129
Acacia_maidenii,2130
Acacia_mangium,351
Acacia_maranoensis,34
Acacia_marramamba,65
Acacia_masliniana,56
Acacia_matthewii,33
Acacia_mearnsii,3283
Acacia_meiosperma,33
Acacia_melanoxylon,7389
Acacia_melvillei,590
Acacia_merinthophora,74
Acacia_microbotrya,422
Acacia_microcybe,28
Acacia_microsperma,72
Acacia_midgleyi,87
Acacia_mimula,453
Acacia_minyura,356
Acacia_mollifolia,121
Acacia_montana,715
Acacia_monticola,785
Acacia_mountfordiae,34
Acacia_mucronata,644
Acacia_muelleriana,105
Acacia_mulganeura,219
Acacia_multisiliqua,601
Acacia_multistipulosa,38
Acacia_murrayana,1577
Acacia_nanodealbata,94
Acacia_neriifolia,1017
Acacia_neurocarpa,223
Acacia_neurophylla,284
Acacia_nyssophylla,1594
Acacia_obliquinervia,806
Acacia_obtusifolia,1772
Acacia_oldfieldii,81
Acacia_olgana,147
Acacia_olsenii,21
Acacia_omalophylla,209
Acacia_ommatosperma,7
Acacia_oraria,147
Acacia_orites,117
Acacia_orthocarpa,418
Acacia_oshanesii,160
Acacia_oswaldii,4427
Acacia_ouyrarema,1
Acacia_oxycedrus,659
Acacia_pachyacra,218
Acacia_pachycarpa,77
Acacia_pachyceras,4
Acacia_palustris,35
Acacia_papyrocarpa,1241
Acacia_paradoxa,3422
Acacia_paraneura,329
Acacia_parramattensis,1840
Acacia_parvipinnula,836
Acacia_pataczekii,32
Acacia_pedleyi,14
Acacia_pellita,200
Acacia_pendula,1130
Acacia_penninervis,1718
Acacia_pentadenia,187
Acacia_petraea,112
Acacia_peuce,110
Acacia_phlebophylla,30
Acacia_pickardii,33
Acacia_platycarpa,1131
Acacia_plectocarpa,705
Acacia_podalyriifolia,496
Acacia_polifolia,87
Acacia_polyadenia,7
Acacia_polybotrya,410
Acacia_polystachya,203
Acacia_praelongata,110
Acacia_prainii,440
Acacia_pravissima,313
Acacia_proiantha,19
Acacia_prominens,322
Acacia_pruinocarpa,427
Acacia_pteraneura,379
Acacia_pubescens,277
Acacia_pubicosta,15
Acacia_pubifolia,55
Acacia_pubirhachis,62
Acacia_pulchella,1003
Acacia_pustula,125
Acacia_pycnantha,5411
Acacia_pycnostachya,40
Acacia_pyrifolia,416
Acacia_quadrimarginea,185
Acacia_racospermoides,36
Acacia_ramulosa,1763
Acacia_redolens,84
Acacia_resinimarginea,214
Acacia_resinistipulea,46
Acacia_retinervis,102
Acacia_retinodes,1023
Acacia_rhodophloia,446
Acacia_rhodoxylon,81
Acacia_riceana,167
Acacia_rigens,2020
Acacia_rivalis,417
Acacia_rostellifera,379
Acacia_rostriformis,57
Acacia_rothii,111
Acacia_roycei,43
Acacia_rubida,1450
Acacia_saliciformis,219
Acacia_salicina,2175
Acacia_saligna,2529
Acacia_saxatilis,45
Acacia_schinoides,250
Acacia_scirpifolia,97
Acacia_sclerosperma,508
Acacia_scopulorum,57
Acacia_seclusa,4
Acacia_semilunata,113
Acacia_semirigida,61
Acacia_sericata,49
Acacia_sericoflora,87
Acacia_shirleyi,800
Acacia_sibilans,67
Acacia_sibina,174
Acacia_sibirica,976
Acacia_signata,103
Acacia_silvestris,236
Acacia_simplex,9
Acacia_simsii,454
Acacia_solenota,13
Acacia_spania,15
Acacia_sparsiflora,199
Acacia_speckii,31
Acacia_spectabilis,740
Acacia_spirorbis,66
Acacia_splendens,10
Acacia_steedmanii,157
Acacia_stenophylla,2143
Acacia_stereophylla,273
Acacia_stipuligera,635
Acacia_storyi,29
Acacia_striatifolia,54
Acacia_stricta,952
Acacia_strongylophylla,255
Acacia_subporosa,123
Acacia_subtessarogona,65
Acacia_subtilinervis,154
Acacia_subulata,202
Acacia_symonii,29
Acacia_synchronicia,280
Acacia_synoria,6
Acacia_tenuinervis,50
Acacia_tenuispica,42
Acacia_tephrina,195
Acacia_terminalis,3489
Acacia_tessellata,62
Acacia_tetragonophylla,3752
Acacia_thomsonii,103
Acacia_tingoorensis,8
Acacia_torulosa,869
Acacia_trachycarpa,223
Acacia_trachyphloia,158
Acacia_trinalis,19
Acacia_trinervata,145
Acacia_trineura,217
Acacia_triptera,616
Acacia_triptycha,93
Acacia_tropica,111
Acacia_tumida,820
Acacia_tysonii,120
Acacia_uncifera,52
Acacia_undoolyana,43
Acacia_undulifolia,49
Acacia_verniciflua,1461
Acacia_veronica,11
Acacia_verricula,167
Acacia_verticillata,1664
Acacia_vestita,237
Acacia_victoriae,20873
Acacia_viscidula,462
Acacia_wanyu,88
Acacia_wardellii,32
Acacia_wattsiana,211
Acacia_websteri,16
Acacia_wetarensis,6
Acacia_wilcoxii,10
Acacia_willingii,4
Acacia_xanthina,87
Acacia_xiphophylla,131
Acacia_yorkrakinensis,231
Acaciella_angustissima,2523
Acaciella_glauca,9
Acaciella_goldmanii,139
Acaciella_rosei,42
Acaciella_villosa,184
Acalypha_acrogyna,8
Acalypha_angatensis,56
Acalypha_apodanthes,106
Acalypha_benensis,7
Acalypha_cardiophylla,16
Acalypha_caturus,48
Acalypha_chocoana,3
Acalypha_cuneata,494
Acalypha_diversifolia,2548
Acalypha_forsteriana,1
Acalypha_fruticosa,134
Acalypha_glabrata,140
Acalypha_grandibracteata,4
Acalypha_grandis,12
Acalypha_grisebachiana,1
Acalypha_hellwigii,58
Acalypha_inaequilatera,2
Acalypha_juruana,3
Acalypha_lepinei,2
Acalypha_longispica,12
Acalypha_lyonsii,12
Acalypha_macrostachya,2143
Acalypha_muelleriana,45
Acalypha_multiflora,10
Acalypha_neptunica,114
Acalypha_novoguineensis,81
Acalypha_ornata,227
Acalypha_padifolia,168
Acalypha_pancheriana,17
Acalypha_peruviana,42
Acalypha_platyphylla,162
Acalypha_pubiflora,19
Acalypha_raivavensis,3
Acalypha_rapensis,4
Acalypha_repanda,4
Acalypha_rivularis,1
Acalypha_schiedeana,401
Acalypha_sonderiana,14
Acalypha_stachyura,244
Acalypha_stellata,7
Acalypha_stenoloba,251
Acalypha_stricta,93
Acalypha_suirenbiensis,16
Acalypha_tenuifolia,15
Acalypha_villosa,105
Acalypha_wilkesiana,1
Acanthella_sprucei,130
Acanthocladus_guayaquilensis,5
Acanthocladus_pulcherrimus,35
Acanthocladus_santosii,11
Acanthocladus_scleroxylon,16
Acanthophoenix_rubra,18
Acanthosyris_annonagustata,9
Acanthosyris_asipapote,6
Acanthosyris_falcata,102
Acanthosyris_glabrata,26
Acanthosyris_paulo-alvinii,9
Acanthosyris_spinescens,82
Acca_lanuginosa,7
Acca_macrostema,13
Acca_sellowiana,317
Aceratium_archboldianum,11
Aceratium_brassii,17
Aceratium_concinnum,46
Aceratium_doggrellii,46
Aceratium_ferrugineum,43
Aceratium_ledermannii,33
Aceratium_megalospermum,126
Aceratium_muellerianum,25
Aceratium_oppositifolium,84
Aceratium_pachypetalum,1
Aceratium_parvifolium,11
Aceratium_pittosporoides,10
Aceratium_sericeum,2
Aceratium_sericoleopsis,17
Aceratium_sinuatum,5
Aceratium_sphaerocarpum,9
Aceratium_tomentosum,8
Acer_acuminatum,9
Acer_amamiense,1
Acer_amplum,53
Acer_argutum,84
Acer_barbinerve,10
Acer_buergerianum,62
Acer_caesium,45
Acer_calcaratum,5
Acer_campbellii,199
Acer_campestre,40667
Acer_capillipes,79
Acer_cappadocicum,84
Acer_carpinifolium,216
Acer_caudatifolium,258
Acer_caudatum,77
Acer_ceriferum,2
Acer_chiangdaoense,1
Acer_circinatum,815
Acer_cissifolium,165
Acer_confertifolium,6
Acer_cordatum,60
Acer_crassum,5
Acer_crataegifolium,314
Acer_davidii,284
Acer_diabolicum,105
Acer_distylum,51
Acer_duplicatoserratum,25
Acer_elegantulum,3
Acer_erianthum,26
Acer_erythranthum,3
Acer_fabri,107
Acer_fenzelianum,4
Acer_floridanum,250
Acer_glabrum,3362
Acer_granatense,1005
Acer_grandidentatum,758
Acer_griseum,13
Acer_heldreichii,42
Acer_henryi,40
Acer_hyrcanum,24
Acer_japonicum,211
Acer_laevigatum,69
Acer_laurinum,27
Acer_leipoense,5
Acer_leucoderme,262
Acer_longipes,26
Acer_lucidum,6
Acer_macrophyllum,2639
Acer_mandshuricum,11
Acer_maximowiczianum,16
Acer_micranthum,168
Acer_miyabei,3
Acer_monspessulanum,3148
Acer_morifolium,5
Acer_negundo,9723
Acer_nipponicum,45
Acer_oblongum,91
Acer_obtusifolium,41
Acer_oligocarpum,3
Acer_oliverianum,63
Acer_opalus,1775
Acer_palmatum,594
Acer_pauciflorum,1
Acer_paxii,40
Acer_pectinatum,162
Acer_pensylvanicum,5083
Acer_pentaphyllum,8
Acer_pentapomicum,19
Acer_pictum,701
Acer_pilosum,7
Acer_platanoides,44290
Acer_poliophyllum,1
Acer_pseudoplatanus,6640
Acer_pseudosieboldianum,9
Acer_pycnanthum,2
Acer_rubescens,16
Acer_rubrum,69892
Acer_rufinerve,269
Acer_saccharinum,3981
Acer_saccharum,24267
Acer_sempervirens,52
Acer_shenkanense,5
Acer_shirasawanum,138
Acer_sieboldianum,268
Acer_sikkimense,27
Acer_sinense,1
Acer_sino-oblongum,4
Acer_sinopurpurascens,3
Acer_spicatum,2199
Acer_stachyophyllum,61
Acer_sterculiaceum,81
Acer_sutchuenense,2
Acer_sycopseoides,4
Acer_tataricum,151
Acer_tegmentosum,10
Acer_tenellum,9
Acer_tibetense,1
Acer_tonkinense,18
Acer_triflorum,12
Acer_truncatum,35
Acer_tschonoskii,103
Acer_tutcheri,27
Acer_undulatum,1
Acer_velutinum,2
Acer_wangchii,5
Acer_wardii,24
Acer_wilsonii,1
Acer_yinkunii,2
Acer_yui,3
Achatocarpus_gracilis,57
Achatocarpus_hasslerianus,3
Achatocarpus_microcarpus,8
Achatocarpus_nigricans,449
Achatocarpus_oaxacanus,30
Achatocarpus_praecox,206
Achatocarpus_pubescens,76
Achyranthes_arborescens,7
Achyranthes_mangarevica,2
Achyranthes_marchionica,2
Acioa_dolichopoda,25
Acioa_edulis,23
Acioa_guianensis,5
Acioa_schultesii,20
Acioa_somnolens,5
Acmanthera_cowanii,5
Acmanthera_duckei,7
Acmanthera_fernandesii,2
Acmanthera_longifolia,8
Acmanthera_minima,2
Acmanthera_parviflora,6
Acnistus_arborescens,801
Acokanthera_laevigata,3
Acokanthera_oblongifolia,29
Acokanthera_oppositifolia,96
Acokanthera_rotundata,23
Acokanthera_schimperi,57
Acosmium_cardenasii,42
Acosmium_diffusissimum,80
Acosmium_lentiscifolium,77
Acradenia_euodiiformis,276
Acridocarpus_austrocaledonicus,14
Acridocarpus_excelsus,36
Acridocarpus_humbertii,9
Acridocarpus_katangensis,20
Acridocarpus_macrocalyx,38
Acridocarpus_natalitius,63
Acridocarpus_plagiopterus,73
Acridocarpus_socotranus,12
Acridocarpus_spectabilis,20
Acritopappus_buiquensis,6
Acritopappus_catolesensis,60
Acritopappus_confertus,233
Acritopappus_connatifolius,17
Acritopappus_harleyi,24
Acritopappus_heterolepis,67
Acritopappus_irwinii,8
Acritopappus_pintoi,7
Acritopappus_prunifolius,25
Acritopappus_subtomentosus,4
Acritopappus_teixeirae,8
Acrocarpus_fraxinifolius,10
Acrocomia_aculeata,1029
Acrocomia_crispa,1
Acrocomia_hassleri,23
Acrocomia_intumescens,100
Acrocomia_media,1
Acrocomia_totai,19
Acronychia_aberrans,28
Acronychia_acidula,95
Acronychia_acronychioides,160
Acronychia_acuminata,18
Acronychia_baeuerlenii,134
Acronychia_carrii,2
Acronychia_cartilaginea,3
Acronychia_chooreechillum,62
Acronychia_crassipetala,69
Acronychia_dimorphocalyx,3
Acronychia_emarginata,8
Acronychia_eungellensis,22
Acronychia_foveata,5
Acronychia_goniocarpa,2
Acronychia_imperforata,343
Acronychia_intermedia,1
Acronychia_kaindiensis,3
Acronychia_laevis,435
Acronychia_ledermannii,8
Acronychia_littoralis,106
Acronychia_macrocalyx,3
Acronychia_montana,10
Acronychia_murina,34
