Species,n
Caraipa_richardiana,123
Caraipa_rodriguesii,9
Caraipa_savannarum,194
Caraipa_tereticaulis,71
Caraipa_utilis,16
Caraipa_valioi,9
Carallia_borneensis,9
Carallia_brachiata,1640
Carallia_coriifolia,2
Carallia_eugenioidea,5
Carallia_garciniifolia,13
Carallia_longipes,2
Carallia_pectinifolia,28
Carapa_akuri,7
Carapa_alticola,5
Carapa_angustifolia,6
Carapa_batesii,6
Carapa_dinklagei,21
Carapa_grandiflora,29
Carapa_guianensis,820
Carapa_hygrophila,7
Carapa_longipetala,3
Carapa_macrantha,29
Carapa_megistocarpa,18
Carapa_microcarpa,18
Carapa_nicaraguensis,47
Carapa_parviflora,62
Carapa_procera,146
Carapa_surinamensis,14
Carapa_vasquezii,26
Carapa_velutina,21
Carapichea_adinantha,87
Carapichea_tillettii,11
Carapichea_verrucosa,9
Cardenasiodendron_brachypterum,31
Cardiopetalum_calophyllum,469
Cardiopetalum_plicatum,2
Cardiopetalum_surinamense,27
Cardwellia_sublimis,165
Careya_arborea,22
Carica_aprica,6
Carica_crassipetala,11
Carica_papaya,918
Cariniana_domestica,260
Cariniana_estrellensis,1057
Cariniana_legalis,318
Cariniana_micrantha,105
Cariniana_parvifolia,7
Cariniana_penduliflora,2
Cariniana_pyriformis,74
Cariniana_rubra,207
Carissa_bispinosa,256
Carissa_boiviniana,98
Carissa_carandas,2
Carissa_macrocarpa,43
Carissa_spinarum,26
Carmichaelia_arborea,456
Carmichaelia_australis,1642
Carmichaelia_kirkii,48
Carmichaelia_muritai,5
Carmichaelia_stevensonii,16
Carmichaelia_williamsii,26
Carnarvonia_araliifolia,185
Carnegiea_gigantea,2115
Carpentaria_acuminata,503
Carphalea_cloiselii,18
Carphalea_madagascariensis,18
Carpinus_betulus,41549
Carpinus_caroliniana,12688
Carpinus_chuniana,8
Carpinus_cordata,504
Carpinus_faginea,2
Carpinus_fangiana,21
Carpinus_fargesiana,24
Carpinus_firmifolia,1
Carpinus_hebestroma,8
Carpinus_henryana,12
Carpinus_japonica,660
Carpinus_kawakamii,133
Carpinus_kweichowensis,11
Carpinus_laxiflora,610
Carpinus_londoniana,39
Carpinus_mollicoma,3
Carpinus_monbeigiana,23
Carpinus_omeiensis,4
Carpinus_orientalis,244
Carpinus_paohsingensis,4
Carpinus_polyneura,23
Carpinus_pubescens,37
Carpinus_purpurinervis,1
Carpinus_putoensis,2
Carpinus_rankanensis,33
Carpinus_rupestris,2
Carpinus_shensiensis,3
Carpinus_tientaiensis,1
Carpinus_tropicalis,166
Carpinus_tsaiana,3
Carpinus_tschonoskii,547
Carpinus_viminea,102
Carpodetus_arboreus,55
Carpodetus_archboldianus,2
Carpodetus_fuscus,1
Carpodetus_grandiflorus,3
Carpodetus_major,48
Carpodetus_montanus,4
Carpodetus_serratus,8545
Carpodiptera_africana,13
Carpodiptera_cubensis,79
Carpodiptera_hexaptera,3
Carpodiptera_mirabilis,3
Carpolobia_alba,295
Carpolobia_gabonica,7
Carpolobia_goetzei,59
Carpolobia_gossweileri,27
Carpolobia_lutea,303
Carpotroche_amazonica,25
Carpotroche_brasiliensis,370
Carpotroche_crispidentata,79
Carpotroche_grandiflora,66
Carpotroche_integrifolia,11
Carpotroche_longifolia,510
Carpotroche_pacifica,35
Carpotroche_platyptera,309
Carpotroche_ramosii,7
Carpotroche_surinamensis,87
Carrierea_calycina,20
Carrierea_dunniana,4
Carvalhoa_campanulata,18
Carya_aquatica,1521
Carya_cathayensis,1
Carya_cordiformis,7556
Carya_floridana,56
Carya_glabra,15070
Carya_hunanensis,2
Carya_illinoinensis,2425
Carya_kweichowensis,1
Carya_laciniosa,979
Carya_myristiciformis,181
Carya_ovata,10027
Carya_pallida,718
Carya_palmeri,52
Carya_sinensis,10
Carya_texana,6607
Carya_tonkinensis,6
Caryocar_amygdaliferum,52
Caryocar_amygdaliforme,21
Caryocar_brasiliense,670
Caryocar_coriaceum,98
Caryocar_costaricense,54
Caryocar_cuneatum,99
Caryocar_dentatum,42
Caryocar_edule,84
Caryocar_glabrum,722
Caryocar_gracile,78
Caryocar_harlingii,18
Caryocar_microcarpum,520
Caryocar_montanum,19
Caryocar_nuciferum,52
Caryocar_pallidum,90
Caryocar_villosum,238
Caryodaphnopsis_baviensis,1
Caryodaphnopsis_bilocellata,3
Caryodaphnopsis_burgeri,36
Caryodaphnopsis_cogolloi,7
Caryodaphnopsis_fieldii,1
Caryodaphnopsis_fosteri,57
Caryodaphnopsis_henryi,3
Caryodaphnopsis_inaequalis,5
Caryodaphnopsis_latifolia,5
Caryodaphnopsis_metallica,4
Caryodaphnopsis_theobromifolia,38
Caryodaphnopsis_tonkinensis,9
Caryodendron_amazonicum,20
Caryodendron_angustifolium,3
Caryodendron_janeirense,36
Caryodendron_orinocense,161
Caryota_albertii,19
Caryota_angustifolia,1
Caryota_cumingii,1
Caryota_kiriwongensis,1
Caryota_maxima,22
Caryota_mitis,49
Caryota_no,10
Caryota_obtusa,7
Caryota_ophiopellis,1
Caryota_rumphiana,35
Caryota_sympetala,23
Caryota_urens,14
Caryota_zebrina,1
Casasia_clusiifolia,22
Casasia_haitiensis,8
Casasia_longipes,1
Casasia_samuelssonii,5
Cascabela_gaumeri,424
Cascabela_ovata,742
Cascabela_pinifolia,31
Cascabela_thevetia,376
Cascabela_thevetioides,246
Cascaronia_astragalina,26
Casearia_aculeata,879
Casearia_acuminata,28
Casearia_arborea,1450
Casearia_archboldiana,2
Casearia_arguta,451
Casearia_atlantica,12
Casearia_bahiensis,30
Casearia_barteri,204
Casearia_bartlettii,19
Casearia_battiscombei,21
Casearia_brassii,1
Casearia_cajambrensis,17
Casearia_capitellata,9
Casearia_catharinensis,9
Casearia_clarkei,1
Casearia_clutiifolia,51
Casearia_combaymensis,92
Casearia_comocladifolia,7
Casearia_congensis,12
Casearia_coronata,121
Casearia_corymbosa,1728
Casearia_cuspidata,1
Casearia_dallachyi,134
Casearia_decandra,1090
Casearia_deplanchei,8
Casearia_duckeana,15
Casearia_eichleriana,143
Casearia_elliptifolia,1
Casearia_emarginata,66
Casearia_engleri,16
Casearia_erythrocarpa,10
Casearia_fasciculata,134
Casearia_flavovirens,1
Casearia_flexicaulis,3
Casearia_flexula,3
Casearia_flexuosa,5
Casearia_fuliginosa,5
Casearia_glabra,16
Casearia_glomerata,37
Casearia_gossypiosperma,574
Casearia_grandiflora,585
Casearia_graveolens,22
Casearia_grayi,21
Casearia_grewiifolia,85
Casearia_guevarana,1
Casearia_guianensis,221
Casearia_halmaherensis,4
Casearia_hirsuta,60
Casearia_hirtella,3
Casearia_hosei,12
Casearia_ilicifolia,4
Casearia_inaequalis,3
Casearia_kaalaensis,3
Casearia_kurzii,5
Casearia_lasiophylla,264
Casearia_lobbiana,3
Casearia_longifolia,1
Casearia_lopeziana,2
Casearia_luetzelburgii,36
Casearia_manausensis,14
Casearia_mannii,1
Casearia_mariquitensis,261
Casearia_maynacarpa,25
Casearia_megacarpa,17
Casearia_melliodora,11
Casearia_mexiae,8
Casearia_michelsonii,4
Casearia_mollis,39
Casearia_monticola,2
Casearia_neblinae,2
Casearia_negrensis,86
Casearia_nigrescens,219
Casearia_nigricans,14
Casearia_nigricolor,8
Casearia_nitida,4
Casearia_obliqua,311
Casearia_oblongifolia,28
Casearia_obovalis,99
Casearia_olivacea,3
Casearia_pachyphylla,19
Casearia_paranaensis,8
Casearia_pauciflora,49
Casearia_pitumba,403
Casearia_praecox,65
Casearia_prismatocarpa,84
Casearia_prunifolia,100
Casearia_puberula,3
Casearia_quinduensis,10
Casearia_resinifera,48
Casearia_ripicola,8
Casearia_rubescens,1
Casearia_rugulosa,38
Casearia_runssorica,16
Casearia_rupestris,255
Casearia_rusbyana,27
Casearia_sanchezii,4
Casearia_selloana,75
Casearia_spinescens,61
Casearia_standleyana,29
Casearia_stipitata,26
Casearia_sylvestris,4072
Casearia_tacanensis,66
Casearia_tachirensis,8
Casearia_tardieuae,3
Casearia_thwaitesii,5
Casearia_tomentosa,7
Casearia_tremula,180
Casearia_trivalvis,1
Casearia_tuberculata,5
Casearia_uleana,32
Casearia_ulmifolia,199
Casearia_vareca,4
Casearia_velutina,48
Casearia_velutinosa,2
Casearia_williamsiana,3
Casearia_zahlbruckneri,13
Casearia_zizyphoides,56
Casimirella_beckii,5
Casimiroa_edulis,359
Casimiroa_emarginata,3
Casimiroa_greggii,99
Casimiroa_pringlei,73
Casimiroa_sapota,90
Casimiroa_tetrameria,113
Cassia_abbreviata,112
Cassia_afrofistula,65
Cassia_angolensis,6
Cassia_arereh,8
Cassia_artensis,2
Cassia_aubrevillei,2
Cassia_brewsteri,269
Cassia_burttii,8
Cassia_cowanii,32
Cassia_fastuosa,222
Cassia_ferruginea,651
Cassia_fikifiki,15
Cassia_fistula,60
Cassia_grandis,664
Cassia_hintonii,28
Cassia_hippophallus,31
Cassia_javanica,27
Cassia_leiandra,212
Cassia_leptophylla,135
Cassia_mannii,30
Cassia_marksiana,86
Cassia_midas,7
Cassia_moschata,315
Cassia_queenslandica,29
Cassia_roxburghii,1
Cassia_rubriflora,23
Cassia_sieberiana,414
Cassia_spruceana,102
Cassia_swartzioides,23
Cassia_thyrsoidea,2
Cassia_tomentella,115
Cassine_australis,286
Cassine_brachycremastra,6
Cassine_buchananii,43
Cassine_congylos,2
Cassine_curtipendula,41
Cassine_ehrenbergii,6
Cassine_glauca,5
Cassine_kamerunensis,5
Cassine_lanceolata,2
Cassine_melanocarpa,235
Cassine_orientalis,3
Cassine_parvifolia,14
Cassine_peragua,111
Cassine_schinoides,49
Cassine_transvaalensis,78
Cassine_viburnifolia,4
Cassinopsis_chapelieri,6
Cassinopsis_ciliata,12
Cassinopsis_ilicifolia,96
Cassinopsis_madagascariensis,111
Cassinopsis_tinifolia,29
Cassinopsis_tomentosa,8
Cassipourea_acuminata,3
Cassipourea_afzelii,26
Cassipourea_barteri,57
Cassipourea_calimensis,7
Cassipourea_carringtoniana,6
Cassipourea_celastroides,18
Cassipourea_delphinensis,1
Cassipourea_ellipticifolia,2
Cassipourea_euryoides,30
Cassipourea_evrardii,3
Cassipourea_firestoneana,1
Cassipourea_flanaganii,12
Cassipourea_floribunda,5
Cassipourea_gossweileri,1
Cassipourea_guianensis,1126
Cassipourea_gummiflua,101
Cassipourea_hiotou,9
Cassipourea_killipii,14
Cassipourea_lanceolata,26
Cassipourea_lasiocalyx,19
Cassipourea_leptoclada,4
Cassipourea_leptoneura,9
Cassipourea_lescotiana,3
Cassipourea_madagascariensis,8
Cassipourea_malosana,72
Cassipourea_mollis,6
Cassipourea_myriocarpa,3
Cassipourea_ndambiana,4
Cassipourea_ndando,21
Cassipourea_nialatou,22
Cassipourea_obovata,1
Cassipourea_obtusa,8
Cassipourea_ovata,1
Cassipourea_peruviana,92
Cassipourea_plumosa,3
Cassipourea_rotundifolia,1
Cassipourea_ruwensorensis,61
Cassipourea_schizocalyx,33
Cassipourea_spruceana,11
Cassipourea_subcordata,1
Cassipourea_subsessilis,1
Cassipourea_swaziensis,4
Cassipourea_zenkeri,8
Castanea_crenata,591
Castanea_dentata,2178
Castanea_henryi,152
Castanea_mollissima,262
Castanea_ozarkensis,54
Castanea_pumila,1117
Castanea_sativa,123
Castanea_seguinii,123
Castanopsis_acuminatissima,351
Castanopsis_amabilis,8
Castanopsis_annamensis,2
Castanopsis_argentea,4
Castanopsis_argyrophylla,44
Castanopsis_armata,13
Castanopsis_boisii,5
Castanopsis_brevispinula,8
Castanopsis_buruana,22
Castanopsis_calathiformis,39
Castanopsis_cambodiana,4
Castanopsis_carlesii,479
Castanopsis_castanicarpa,1
Castanopsis_ceratacantha,53
Castanopsis_cerebrina,5
Castanopsis_chevalieri,9
Castanopsis_chinensis,46
Castanopsis_choboensis,5
Castanopsis_chunii,16
Castanopsis_clarkei,2
Castanopsis_clemensii,3
Castanopsis_concinna,12
Castanopsis_costata,14
Castanopsis_crassifolia,6
Castanopsis_curtisii,9
Castanopsis_cuspidata,176
Castanopsis_damingshanensis,1
Castanopsis_delavayi,89
Castanopsis_densinervia,2
Castanopsis_densispinosa,1
Castanopsis_diversifolia,20
Castanopsis_dongchoensis,9
Castanopsis_echinocarpa,43
Castanopsis_endertii,1
Castanopsis_evansii,6
Castanopsis_eyrei,199
Castanopsis_faberi,53
Castanopsis_fargesii,209
Castanopsis_ferox,61
Castanopsis_fissa,155
Castanopsis_fleuryi,17
Castanopsis_fordii,61
Castanopsis_formosana,97
Castanopsis_foxworthyi,13
Castanopsis_fulva,6
Castanopsis_globigemmata,1
Castanopsis_guinieri,2
Castanopsis_hainanensis,7
Castanopsis_hupehensis,55
Castanopsis_hypophoenicea,11
Castanopsis_indica,132
Castanopsis_inermis,18
Castanopsis_javanica,22
Castanopsis_jucunda,49
Castanopsis_kawakamii,80
Castanopsis_kweichowensis,4
Castanopsis_lamontii,61
Castanopsis_lanceifolia,8
Castanopsis_lecomtei,5
Castanopsis_ledongensis,1
Castanopsis_longipes,3
Castanopsis_longipetiolata,4
Castanopsis_lucida,9
Castanopsis_malaccensis,1
Castanopsis_megacarpa,11
Castanopsis_mekongensis,6
Castanopsis_microphylla,5
Castanopsis_motleyana,13
Castanopsis_namdinhensis,5
Castanopsis_neocavaleriei,8
Castanopsis_nephelioides,5
Castanopsis_nhatrangensis,3
Castanopsis_nigrescens,8
Castanopsis_ninhhoensis,2
Castanopsis_orthacantha,59
Castanopsis_ouonbiensis,1
Castanopsis_oviformis,3
Castanopsis_paucispina,1
Castanopsis_pedunculata,1
Castanopsis_philipensis,2
Castanopsis_pierrei,24
Castanopsis_piriformis,62
Castanopsis_platyacantha,33
Castanopsis_poilanei,1
Castanopsis_psilophylla,2
Castanopsis_purpurea,2
Castanopsis_purpurella,2
Castanopsis_remotidenticulata,2
Castanopsis_rhamnifolia,6
Castanopsis_rockii,9
Castanopsis_rufotomentosa,1
Castanopsis_schefferiana,8
Castanopsis_sclerophylla,107
Castanopsis_scortechinii,1
Castanopsis_semifabri,1
Castanopsis_sieboldii,312
Castanopsis_tcheponensis,6
Castanopsis_tessellata,7
Castanopsis_tibetana,94
Castanopsis_tonkinensis,28
Castanopsis_tranninhensis,1
Castanopsis_tribuloides,60
Castanopsis_tungurrut,7
Castanopsis_wallichii,4
Castanopsis_wattii,8
Castanopsis_wilsonii,4
Castanospermum_australe,245
Castela_calcicola,4
Castela_coccinea,176
Castela_emoryi,98
Castela_tortuosa,244
Castela_tweediei,84
Castellanosia_caineana,8
Castilla_elastica,199
Castilla_tunu,110
Castilla_ulei,127
Casuarina_collina,19
Casuarina_cristata,1504
Casuarina_cunninghamiana,2456
Casuarina_equisetifolia,1173
Casuarina_glauca,767
Casuarina_grandis,4
Casuarina_junghuhniana,4
Casuarina_obesa,358
Casuarina_oligodon,50
Casuarina_pauper,1976
Catalepidia_heyana,70
Catalpa_bignonioides,624
Catalpa_brevipes,8
Catalpa_bungei,28
Catalpa_fargesii,60
Catalpa_longissima,47
Catalpa_macrocarpa,24
Catalpa_ovata,71
Catalpa_purpurea,6
Catalpa_speciosa,850
Catalpa_tibetica,1
Catha_edulis,102
Cathedra_acuminata,387
Cathedra_bahiensis,44
Cathedra_grandiflora,5
Cathedra_paraensis,12
Cathedra_rubricaulis,74
Cathormion_umbellatum,515
Catophractes_alexandri,122
Catostemma_albuquerquei,12
Catostemma_altsonii,8
Catostemma_cavalcantei,9
Catostemma_commune,93
Catostemma_durifolius,4
Catostemma_ebracteolatum,15
Catostemma_fragrans,67
Catostemma_grazielae,1
Catostemma_hirsutulum,7
Catostemma_lemense,4
Catostemma_marahuacense,2
Catostemma_milanezii,5
Catostemma_sancarlosianum,9
Catostemma_sclerophyllum,26
Catunaregam_longispina,1
Catunaregam_nilotica,28
Catunaregam_nutans,1
Catunaregam_obovata,25
Catunaregam_oocarpa,2
Catunaregam_spinosa,8
Catunaregam_taylorii,79
Cavacoa_aurea,31
Cavacoa_baldwinii,10
Cavacoa_quintasii,10
Cavanillesia_chicamochae,5
Cavanillesia_hylogeiton,96
Cavanillesia_platanifolia,118
Cavanillesia_umbellata,30
Cavendishia_bracteata,2108
Cavendishia_pubescens,322
Ceanothus_arboreus,105
Ceanothus_caeruleus,345
Ceanothus_impressus,70
Ceanothus_oliganthus,637
Ceanothus_spinosus,360
Ceanothus_thyrsiflorus,616
Ceanothus_velutinus,1634
Cecropia_albicans,7
Cecropia_andina,44
Cecropia_angustifolia,54
Cecropia_annulata,5
Cecropia_bullata,25
Cecropia_chlorostachya,2
Cecropia_concolor,262
Cecropia_dentata,2
Cecropia_distachya,278
Cecropia_elongata,10
Cecropia_engleriana,189
Cecropia_ficifolia,358
Cecropia_gabrielis,39
Cecropia_garciae,27
Cecropia_glaziovii,636
Cecropia_goudotiana,7
Cecropia_granvilleana,5
Cecropia_herthae,40
Cecropia_heterochroma,34
Cecropia_hispidissima,84
Cecropia_hololeuca,342
Cecropia_idroboi,9
Cecropia_insignis,177
Cecropia_kavanayensis,47
Cecropia_latiloba,460
Cecropia_litoralis,38
Cecropia_longipes,18
Cecropia_marginalis,64
Cecropia_maxima,10
Cecropia_megastachya,11
Cecropia_membranacea,388
Cecropia_metensis,95
Cecropia_montana,43
Cecropia_multisecta,5
Cecropia_mutisiana,39
Cecropia_obtusa,159
Cecropia_obtusifolia,640
Cecropia_pachystachya,2053
Cecropia_palmata,306
Cecropia_pastasana,9
Cecropia_peltata,1202
Cecropia_pittieri,5
Cecropia_plicata,18
Cecropia_polystachya,182
Cecropia_purpurascens,50
Cecropia_putumayonis,78
Cecropia_reticulata,85
Cecropia_sararensis,46
Cecropia_saxatilis,148
Cecropia_schreberiana,106
Cecropia_sciadophylla,710
Cecropia_silvae,10
Cecropia_strigosa,70
Cecropia_subintegra,6
Cecropia_tacuna,57
Cecropia_telealba,19
Cecropia_telenitida,144
Cecropia_ulei,24
Cecropia_utcubambana,40
Cecropia_velutinella,3
Cecropia_virgusa,24
Cedrela_angustifolia,150
Cedrela_balansae,57
Cedrela_discolor,56
Cedrela_dugesii,79
Cedrela_fissilis,1010
Cedrela_kuelapensis,9
Cedrela_longipetiolulata,9
Cedrela_molinensis,3
Cedrela_monroensis,5
Cedrela_montana,245
Cedrela_nebulosa,44
Cedrela_oaxacensis,59
Cedrela_odorata,1708
Cedrela_saltensis,56
Cedrela_salvadorensis,171
Cedrela_tonduzii,106
Cedrela_weberbaueri,9
Cedrelinga_cateniformis,403
Cedrelopsis_ambanjensis,3
Cedrelopsis_gracilis,3
Cedrelopsis_grevei,140
Cedrelopsis_longibracteata,5
Cedrelopsis_microfoliolata,31
Cedrelopsis_procera,2
Cedrelopsis_trivalvis,26
Ceiba_acuminata,130
Ceiba_aesculifolia,857
Ceiba_boliviana,121
Ceiba_chodatii,101
Ceiba_crispiflora,18
Ceiba_erianthos,185
Ceiba_glaziovii,289
Ceiba_insignis,92
Ceiba_jasminodora,39
Ceiba_lupuna,61
Ceiba_pentandra,1144
Ceiba_pubiflora,346
Ceiba_rubriflora,17
Ceiba_salmonea,9
Ceiba_samauma,374
Ceiba_schottii,121
Ceiba_soluta,4
Ceiba_speciosa,573
Ceiba_trischistandra,80
Ceiba_ventricosa,88
Celianella_montana,12
Celosia_floribunda,80
Celosia_monosperma,78
Celtis_adolfi-friderici,73
Celtis_africana,432
Celtis_australis,3335
Celtis_balansae,1
Celtis_berteroana,12
Celtis_bifida,21
Celtis_biondii,185
Celtis_boninensis,12
Celtis_brasiliensis,1003
Celtis_bungeana,63
Celtis_caudata,453
Celtis_cerasifera,4
Celtis_chekiangensis,6
Celtis_chichape,234
Celtis_conferta,15
Celtis_gomphophylla,135
Celtis_harperi,3
Celtis_hildebrandii,16
Celtis_hypoleuca,7
Celtis_iguanaea,4315
Celtis_jessoensis,190
Celtis_julianae,23
Celtis_koraiensis,14
Celtis_laevigata,6048
Celtis_latifolia,50
Celtis_lindheimeri,7
Celtis_loxensis,27
Celtis_luzonica,1
Celtis_madagascariensis,20
Celtis_mildbraedii,247
Celtis_occidentalis,7831
Celtis_pacifica,9
Celtis_pallida,908
Celtis_paniculata,357
Celtis_philippensis,1330
Celtis_planchoniana,13
Celtis_rigescens,22
Celtis_rubrovenia,3
Celtis_schippii,451
Celtis_sinensis,398
Celtis_tala,21
Celtis_tenuifolia,667
Celtis_tessmannii,140
Celtis_tetrandra,303
Celtis_timorensis,42
Celtis_toka,194
Celtis_tournefortii,9
Celtis_trinervia,81
Celtis_vandervoetiana,14
Celtis_vitiensis,1
Celtis_zenkeri,422
Cenocentrum_tonkinense,2
Cenostigma_macrophyllum,696
Cenostigma_tocantinum,108
Centaurodendron_dracaenoides,3
Centaurodendron_palmiforme,3
Centrolobium_microchaete,146
Centrolobium_ochroxylum,44
Centrolobium_paraense,109
Centrolobium_robustum,56
Centrolobium_sclerophyllum,155
Centrolobium_tomentosum,350
Centrolobium_yavizanum,20
Centronia_laurifolia,27
Centronia_neblinae,8
Centronia_reticulata,4
Centroplacus_glaucinus,178
Cephalanthus_angustifolius,4
Cephalanthus_glabratus,115
Cephalanthus_natalensis,79
Cephalanthus_salicifolius,205
Cephalanthus_tetrandra,48
Cephalocereus_apicicephalium,31
Cephalocereus_columna-trajani,24
Cephalocereus_senilis,40
Cephalocereus_totolapensis,31
Cephalocrotonopsis_socotranus,3
Cephalohibiscus_peekelii,12
Cephalomappa_beccariana,5
Cephalomappa_lepidotula,3
Cephalomappa_malloticarpa,17
Cephalomappa_paludicola,1
Cephalomappa_penangensis,1
Cephalosphaera_usambarensis,20
Cephalotomandra_fragrans,8
Cerasus_dolichadenia,2
Ceratonia_oreothauma,5
Ceratonia_siliqua,5522
Ceratopetalum_apetalum,1641
Ceratopetalum_corymbosum,16
Ceratopetalum_gummiferum,1401
Ceratopetalum_hylandii,19
Ceratopetalum_iugumense,15
Ceratopetalum_macrophyllum,16
Ceratopetalum_succirubrum,116
Ceratopetalum_virchowii,57
Cerbera_dumicola,46
Cerbera_floribunda,179
Cerbera_inflata,70
Cerbera_manghas,422
Cerbera_odollam,40
Cerberiopsis_candelabra,1
Cerberiopsis_neriifolia,8
Cerberiopsis_obtusifolia,2
Cercidiphyllum_japonicum,212
Cercidiphyllum_magnificum,52
Cercidium_andicola,29
Cercis_canadensis,8200
Cercis_chinensis,57
Cercis_chingii,4
Cercis_chuniana,9
Cercis_glabra,18
Cercis_griffithii,5
Cercis_racemosa,8
Cercis_siliquastrum,847
Cercocarpus_ledifolius,3038
Cercocarpus_macrophyllus,257
Cercocarpus_montanus,3856
Cercocarpus_traskiae,20
Cereus_estevesii,1
Cereus_fernambucensis,94
Cereus_hankeanus,10
Cereus_hexagonus,42
Cereus_hildmannianus,64
Cereus_insularis,1
Cereus_jamacaru,323
Cereus_lamprospermus,1
Cereus_repandus,7
Cereus_stenogonus,65
Ceriops_australis,461
Ceriops_decandra,4
Ceriops_pseudodecandra,103
Ceriops_tagal,673
Ceriops_zippeliana,33
Ceriscoides_campanulata,2
Ceriscoides_howii,2
Ceriscoides_perakensis,1
Ceriscoides_turgida,4
Ceroxylon_alpinum,14
Ceroxylon_amazonicum,9
Ceroxylon_ceriferum,15
Ceroxylon_echinulatum,14
Ceroxylon_parvifrons,116
Ceroxylon_parvum,3
Ceroxylon_peruvianum,1
Ceroxylon_pityrophyllum,39
Ceroxylon_quindiuense,131
Ceroxylon_sasaimae,4
Ceroxylon_ventricosum,15
Ceroxylon_vogelianum,155
Cervantesia_bicolor,7
Cervantesia_tomentosa,69
Cespedesia_spathulata,618
Cestrum_acuminatissimum,53
Cestrum_aurantiacum,517
Cestrum_axillare,861
Cestrum_bigibbosum,54
Cestrum_bracteatum,650
Cestrum_capsulare,33
Cestrum_conglomeratum,84
Cestrum_corcovadense,36
Cestrum_cuneifolium,27
Cestrum_daphnoides,10
Cestrum_darcyanum,18
Cestrum_diurnum,44
Cestrum_euanthes,86
Cestrum_flavinervium,3
Cestrum_fulvescens,42
Cestrum_glabrescens,5
Cestrum_glanduliferum,155
Cestrum_glaucophyllum,2
Cestrum_guatemalense,15
Cestrum_hirtellum,6
Cestrum_hirtum,5
Cestrum_humboldtii,200
Cestrum_imbricatum,2
Cestrum_intermedium,481
Cestrum_killipii,1
Cestrum_laevifolium,13
Cestrum_laevigatum,546
Cestrum_latifolium,411
Cestrum_lindenii,67
Cestrum_luteovirescens,55
Cestrum_macrophyllum,71
Cestrum_mariquitense,602
Cestrum_microcalyx,594
Cestrum_mononeurum,6
Cestrum_montanum,32
Cestrum_mortonianum,2
Cestrum_nocturnum,1153
Cestrum_oblongifolium,165
Cestrum_ochraceum,90
Cestrum_pacayense,6
Cestrum_parqui,1077
Cestrum_petiolare,60
Cestrum_poasanum,72
Cestrum_potaliifolium,2
Cestrum_pulverulentum,1
Cestrum_racemosum,674
Cestrum_rugulosum,47
Cestrum_salicifolium,9
Cestrum_salzmannii,105
Cestrum_scandens,77
Cestrum_strigilatum,1126
Cestrum_subpulverulentum,8
Cestrum_taylorii,1
Cestrum_tillettii,2
Cestrum_tipocochense,3
Cestrum_tomentosum,738
Cestrum_undulatum,7
Ceuthocarpus_involucratus,8
Ceuthostoma_terminale,3
Chadsia_flammea,119
Chadsia_salicina,42
Chaenomeles_cathayensis,29
Chaenomeles_thibetica,2
Chaetachme_aristata,216
Chaetocarpus_acutifolius,5
Chaetocarpus_africanus,60
Chaetocarpus_castanocarpus,51
Chaetocarpus_cordifolius,6
Chaetocarpus_coriaceus,1
Chaetocarpus_echinocarpus,387
Chaetocarpus_gabonensis,9
Chaetocarpus_globosus,48
Chaetocarpus_myrsinites,284
Chaetocarpus_pubescens,1
Chaetocarpus_rabaraba,11
Chaetocarpus_schomburgkianus,257
Chalepophyllum_guyanense,42
Chamaecrista_adiantifolia,157
Chamaecrista_amabilis,14
Chamaecrista_amorimii,7
Chamaecrista_apoucouita,130
Chamaecrista_aspidiifolia,11
Chamaecrista_aspleniifolia,32
Chamaecrista_auris-zerdae,3
Chamaecrista_aurivilla,17
Chamaecrista_bahiae,195
Chamaecrista_boyanii,1
Chamaecrista_brachystachya,358
Chamaecrista_bracteolata,12
Chamaecrista_celiae,9
Chamaecrista_chaetostegia,15
Chamaecrista_compitalis,12
Chamaecrista_confertiformis,61
Chamaecrista_decora,129
Chamaecrista_dentata,34
Chamaecrista_duartei,68
Chamaecrista_dumalis,28
Chamaecrista_eitenorum,127
Chamaecrista_ensiformis,625
Chamaecrista_fodinarum,6
Chamaecrista_fulgida,4
Chamaecrista_glaziovii,8
Chamaecrista_glischrodes,7
Chamaecrista_hatschbachii,3
Chamaecrista_hedysaroides,55
Chamaecrista_hymenaeifolia,27
Chamaecrista_katangensis,12
Chamaecrista_lentiscifolia,2
Chamaecrista_machaeriifolia,63
Chamaecrista_multiseta,115
Chamaecrista_negrensis,131
Chamaecrista_nuda,2
Chamaecrista_onusta,15
Chamaecrista_orbiculata,314
Chamaecrista_orenocensis,31
Chamaecrista_paniculata,25
Chamaecrista_phyllostachya,13
Chamaecrista_pilicarpa,5
Chamaecrista_polystachya,17
Chamaecrista_pteropoda,2
Chamaecrista_scleroxylon,32
Chamaecrista_sincorana,35
Chamaecrista_spinulosa,7
Chamaecrista_subpeltata,6
Chamaecrista_ulmea,7
Chamaecrista_xinguensis,48
Chamaecrista_zygophylloides,287
Chamaedorea_alternans,18
Chamaedorea_angustisecta,159
Chamaedorea_arenbergiana,49
Chamaedorea_carchensis,8
Chamaedorea_christinae,4
Chamaedorea_deckeriana,117
Chamaedorea_falcifera,2
Chamaedorea_foveata,3
Chamaedorea_fractiflexa,2
Chamaedorea_fragrans,20
Chamaedorea_glaucifolia,35
Chamaedorea_klotzschiana,16
Chamaedorea_linearis,440
Chamaedorea_neurochlamys,103
Chamaedorea_oblongata,321
