"Species","IUCNstatus"
"Aglaia_apiocarpa","VU"
"Aglaia_archboldiana","VU"
"Aglaia_barbanthera","VU"
"Aglaia_basiphylla","VU"
"Aglaia_beccarii",NA
"Aglaia_chittagonga","VU"
"Aglaia_coriacea","VU"
"Aglaia_costata","EN"
"Aglaia_cucullata","DD"
"Aglaia_cuspidata","VU"
"Aglaia_erythrosperma","LR/nt"
"Aglaia_evansensis","CR"
"Aglaia_fragilis","VU"
"Aglaia_glabrata","LR/nt"
"Aglaia_gracilis","CR"
"Aglaia_grandis","LR/nt"
"Aglaia_ijzermannii",NA
"Aglaia_integrifolia","CR"
"Aglaia_lancilimba","LR/nt"
"Aglaia_laxiflora","VU"
"Aglaia_mackiana","DD"
"Aglaia_macrostigma","VU"
"Aglaia_malaccensis","LR/nt"
"Aglaia_mariannensis","VU"
"Aglaia_monozyga","LR/nt"
"Aglaia_multinervis","LC"
"Aglaia_palembanica","LR/nt"
"Aglaia_pannelliana","VU"
"Aglaia_parksii","DD"
"Aglaia_penningtoniana","EN"
"Aglaia_pinnata",NA
"Aglaia_polyneura","LC"
"Aglaia_pyriformis","EN"
"Aglaia_ramotricha","VU"
"Aglaia_rubiginosa","LR/nt"
"Aglaia_rubrivenia","CR"
"Aglaia_rufibarbis",NA
"Aglaia_rufinervis","LR/nt"
"Aglaia_saltatorum","VU"
"Aglaia_scortechinii","VU"
"Aglaia_smithii","VU"
"Aglaia_speciosa","VU"
"Aglaia_tenuicaulis","LC"
"Aglaia_unifolia","CR"
"Aglaia_vitiensis","LC"
"Agonandra_fluminensis",NA
"Agonandra_goldbergiana","CR"
"Agrostistachys_gaudichaudii","LC"
"Agrostistachys_hookeri","CR"
"Aidia_chantonea",NA
"Aidia_gardneri",NA
"Aidia_parvifolia",NA
"Aidia_vitiensis",NA
"Aidia_wattii",NA
"Aidia_yunnanensis",NA
"Aidiopsis_orophila",NA
"Ailanthus_excelsa",NA
"Ailanthus_fordii",NA
"Aiouea_opaca","CR"
"Aiphanes_pilaris","CR"
"Akrosida_floribunda",NA
"Akrosida_macrophylla",NA
"Alangium_havilandii","VU"
"Alangium_maliliense","VU"
"Alangium_ridleyi",NA
"Alangium_yunnanense",NA
"Albizia_calcarea",NA
"Albizia_duclouxii",NA
"Albizia_eriorhachis",NA
"Albizia_garrettii",NA
"Albizia_isenbergiana",NA
"Albizia_leonardii","CR"
"Albizia_mossamedensis","LC"
"Albizia_obbiadensis","VU"
"Albizia_papuensis","EN"
"Albizia_philippinensis","VU"
"Albizia_poilanei",NA
"Albizia_rosulata","NT"
"Albizia_sherriffii",NA
"Albizia_tomentella","LC"
"Albizia_verrucosa","CR"
"Albizia_vialeana",NA
"Albizia_welwitschii",NA
"Alchornea_guatemalensis","EN"
"Alchornea_integrifolia","EN"
"Alchornea_mollis",NA
"Alchornea_occidentalis",NA
"Aldina_aurea","VU"
"Aldina_elliptica","VU"
"Aldina_paulberryi","DD"
"Aldina_petiolulata","LC"
"Alectryon_cardiocarpus",NA
"Alectryon_fuscus","EN"
"Alectryon_samoensis",NA
"Aleisanthiopsis_multiflora",NA
"Alexa_leiopetala",NA
"Algernonia_amazonica",NA
"Algernonia_glazioui",NA
"Algernonia_kuhlmannii",NA
"Algernonia_paulae",NA
"Allanblackia_staneriana",NA
"Allantoma_uaupensis","VU"
"Allantospermum_multicaule","EN"
"Alleizettella_rubra","VU"
"Allexis_zygomorpha","VU"
"Allophylus_acutatus",NA
"Allophylus_aldabricus","VU"
"Allophylus_amplissimus","CR"
"Allophylus_antunesii","DD"
"Allophylus_bartlettii",NA
"Allophylus_bicruris","LC"
"Allophylus_bongolavensis","EN"
"Allophylus_borbonicus",NA
"Allophylus_brachypetalus",NA
"Allophylus_brachystachys",NA
"Allophylus_camptoneurus",NA
"Allophylus_capillipes",NA
"Allophylus_caudatus",NA
"Allophylus_chirindensis","VU"
"Allophylus_dimorphus",NA
"Allophylus_domingensis",NA
"Allophylus_grandiflorus",NA
"Allophylus_grotei",NA
"Allophylus_haitiensis","DD"
"Allophylus_hayatae",NA
"Allophylus_hirsutus",NA
"Allophylus_imenoensis","EN"
"Allophylus_jamaicensis",NA
"Allophylus_katangensis","EN"
"Allophylus_laetevirens","DD"
"Allophylus_laxiflorus",NA
"Allophylus_leptococcus",NA
"Allophylus_livescens",NA
"Allophylus_longifolius",NA
"Allophylus_macrodontus",NA
"Allophylus_micrococcus","DD"
"Allophylus_multicostatus",NA
"Allophylus_ngounyensis","EN"
"Allophylus_parimensis","DD"
"Allophylus_persicifolius","LC"
"Allophylus_rapensis","DD"
"Allophylus_repandifolius",NA
"Allophylus_reticulatus",NA
"Allophylus_sapinii","EN"
"Allophylus_serratus",NA
"Allophylus_torrei","EN"
"Allophylus_ujori","EN"
"Allophylus_villosus",NA
"Allophylus_zeylanicus","VU"
"Alluaudia_montagnacii","EN"
"Alnus_lanata","DD"
"Alnus_subcordata","LC"
"Aloe_alooides",NA
"Aloe_antonii","LC"
"Aloe_elata","VU"
"Aloe_gracilicaulis","EN"
"Aloe_miskatana","LC"
"Aloe_peyrierasii","VU"
"Aloe_rupicola",NA
"Alphandia_resinosa","CR"
"Alphitonia_carolinensis",NA
"Alphitonia_franguloides",NA
"Alphitonia_marquesensis","LR/lc"
"Alphonsea_borneensis",NA
"Alphonsea_cylindrica",NA
"Alphonsea_elliptica","LC"
"Alphonsea_gaudichaudiana",NA
"Alphonsea_johorensis",NA
"Alphonsea_kinabaluensis",NA
"Alphonsea_lucida","VU"
"Alphonsea_maingayi","LC"
"Alphonsea_malayana","DD"
"Alphonsea_siamensis","LC"
"Alphonsea_squamosa",NA
"Alphonsea_tonquinensis",NA
"Alphonsea_ventricosa",NA
"Alphonsea_zeylanica",NA
"Alseodaphne_borneensis","LC"
"Alseodaphne_khasyana","NT"
"Alseodaphne_medogensis",NA
"Alseodaphne_montana","VU"
"Alseodaphne_oblanceolata","LC"
"Alseodaphne_paludosa","VU"
"Alseodaphne_pendulifolia","VU"
"Alseodaphne_perakensis","LC"
"Alseodaphne_philippinensis","EN"
"Alseodaphne_rubrolignea","LC"
"Alseodaphne_tomentosa","VU"
"Alseodaphne_utilis","VU"
"Alseodaphne_wrayi","VU"
"Alstonia_angustiloba",NA
"Alstonia_annamensis","EN"
"Alstonia_boulindaensis",NA
"Alstonia_breviloba","EN"
"Alstonia_lanceolifera",NA
