"Species","IUCNstatus"
"Asteropeia_matrambody","Vulnerable"
"Asteropeia_mcphersonii","Vulnerable"
"Astrotrichilia_masoalensis","Threatened"
"Astrotrichilia_parvifolia","Not Threatened"
"Astrotrichilia_procera","Threatened"
"Astrotrichilia_thouvenotii","Not Threatened"
"Astrotrichilia_voamatata","Threatened"
"Atuna_nannodes","Not Evaluated"
"Atuna_penangiana","Vulnerable"
"Aubregrinia_taiensis","Threatened"
"Aulacocalyx_divergens","Vulnerable"
"Averrhoa_bilimbi","Not Evaluated"
"Baccaurea_javanica","Not Threatened"
"Baccaurea_lanceolata","Not Evaluated"
"Baccaurea_macrocarpa","Not Evaluated"
"Baccaurea_macrophylla","Not Evaluated"
"Baccaurea_parviflora","Not Evaluated"
"Baccaurea_pyriformis","Not Threatened"
"Baccaurea_racemosa","Not Evaluated"
"Baccaurea_reticulata","Not Evaluated"
"Baccaurea_sumatrana","Not Evaluated"
"Bactris_timbuiensis","Not Evaluated"
"Banara_portoricensis","Not Evaluated"
"Banksia_tricuspis","Not Threatened"
"Baphia_macrocalyx","Vulnerable"
"Baphia_spathacea","Threatened"
"Barringtonia_ashtonii","Not Evaluated"
"Barringtonia_curranii","Not Evaluated"
"Barringtonia_havilandii","Not Evaluated"
"Barringtonia_pendula","Not Evaluated"
"Barringtonia_reticulata","Not Threatened"
"Barringtonia_revoluta","Not Evaluated"
"Barringtonia_scortechinii","Not Evaluated"
"Bartholomaea_mollis","Threatened"
"Bartholomaea_sessiliflora","Threatened"
"Bathiorhamnus_macrocarpus","Not Threatened"
"Baudouinia_louvelii","Threatened"
"Bauhinia_ombrophila","Vulnerable"
"Bauhinia_rubeleruziana","Not Evaluated"
"Beccariophoenix_madagascariensis","Vulnerable"
"Beguea_apetala","Not Threatened"
"Beilschmiedia_chevalieri","Vulnerable"
"Beilschmiedia_cryptocaryoides","DD"
"Beilschmiedia_madang","Not Threatened"
"Beilschmiedia_pedicellata","Vulnerable"
"Beilschmiedia_rugosa","Threatened"
"Beilschmiedia_sary","Vulnerable"
"Beilschmiedia_scintillans","Vulnerable"
"Benoistia_sambiranensis","Threatened"
"Benstonea_affinis","Not Evaluated"
"Benstonea_korthalsii","Not Evaluated"
"Benstonea_parva","Not Evaluated"
"Benstonea_pectinata","Not Evaluated"
"Berlinia_occidentalis","Vulnerable"
"Berlinia_orientalis","Vulnerable"
"Berlinia_tomentella","Not Evaluated"
"Bertiera_crinita","Not Threatened"
"Bertiera_spicata","Not Threatened"
"Beyeria_lanceolata","Not Threatened"
"Bhesa_indica","Not Evaluated"
"Bhesa_paniculata","Not Threatened"
"Blakea_latifolia","Not Evaluated"
"Blepharidium_guatemalense","Not Threatened"
"Blumeodendron_kurzii","Not Threatened"
"Blumeodendron_subrotundifolium","Not Threatened"
"Boschia_griffithii","Not Evaluated"
"Botryophora_geniculata","Not Evaluated"
"Bouea_macrophylla","Not Evaluated"
"Brachystegia_leonensis","Vulnerable"
"Bremeria_humblotii","Not Threatened"
"Bremeria_scabridior","Not Threatened"
"Breonia_decaryana","Not Threatened"
"Breonia_havilandiana","Vulnerable"
"Breonia_louvelii","Threatened"
"Breonia_lowryi","Vulnerable"
