"Species","IUCNstatus"
"Abarema_ganymedea","Vulnerable"
"Abarema_macradenia","Not Threatened"
"Abarema_racemiflora","Not Threatened"
"Abrahamia_latifolia","Vulnerable"
"Abrahamia_viguieri","Not Threatened"
"Acalypha_apodanthes","Not Threatened"
"Acer_caudatifolium","Not Evaluated"
"Acer_rubescens","Not Threatened"
"Aceratium_sericoleopsis","Not Evaluated"
"Aceratium_tomentosum","Not Threatened"
"Acronychia_ledermannii","Not Threatened"
"Acronychia_montana","Not Threatened"
"Actinodaphne_hypoleucophylla","Not Threatened"
"Actinodaphne_mushaensis","Not Threatened"
"Adelobotrys_antioquiensis","Vulnerable"
"Adinandra_lasiostyla","Not Evaluated"
"Aegiphila_alba","Not Threatened"
"Aegiphila_anomala","Not Threatened"
"Aegiphila_cephalophora","Not Threatened"
"Aegiphila_lehmannii","Not Threatened"
"Aegiphila_schimpffii","Threatened"
"Aegiphila_valerioi","Not Threatened"
"Aglaia_australiensis","Vulnerable"
"Agouticarpa_grandistipula","Not Evaluated"
"Aiouea_costaricensis","Not Threatened"
"Aiouea_guatemalensis","Vulnerable"
"Aiouea_obscura","Vulnerable"
"Aiouea_parvissima","Threatened"
"Aiphanes_deltoidea","Not Evaluated"
"Aiphanes_macroloba","Not Evaluated"
"Aiphanes_tricuspidata","Not Evaluated"
"Aldina_insignis","Not Evaluated"
"Alfaroa_costaricensis","Not Threatened"
"Alfaroa_manningii","Not Threatened"
"Alibertia_atlantica","Not Threatened"
"Alibertia_utleyorum","Not Evaluated"
"Allamanda_weberbaueri","Not Evaluated"
"Allantoma_kuhlmannii","Threatened"
"Allomaieta_hirsuta","Vulnerable"
"Allomaieta_pancurana","Not Threatened"
"Allomaieta_strigosa","Not Threatened"
"Alseis_costaricensis","Not Threatened"
"Amaioua_pedicellata","Not Threatened"
"Amphitecna_donnell-smithii","Threatened"
"Amphitecna_gentryi","Vulnerable"
"Amphitecna_isthmica","Not Threatened"
"Amphitecna_sessilifolia","Vulnerable"
"Amyris_brenesii","Not Threatened"
"Amyris_magnifolia","Threatened"
"Amyris_rhomboidea","Not Evaluated"
"Anacardium_fruticosum","Not Evaluated"
"Anaxagorea_phaeocarpa","Not Threatened"
"Andira_grandistipula","Not Evaluated"
"Andira_tervequinata","Vulnerable"
"Angostura_granulosa","Not Threatened"
"Aniba_excelsa","Vulnerable"
"Aniba_heterotepala","Threatened"
"Annona_asplundiana","Vulnerable"
"Annona_pachyantha","Vulnerable"
"Annona_pittieri","Not Threatened"
"Annona_rufinervis","Threatened"
"Anthodiscus_trifoliatus","Not Evaluated"
"Anthopterus_wardii","Not Threatened"
"Antidesma_chalaranthum","Not Threatened"
"Aphelandra_crispata","Not Evaluated"
"Apodocephala_urschiana","Threatened"
"Apodytes_geldenhuysii","Not Evaluated"
"Apodytes_grandifolia","Threatened"
"Appunia_debilis","Not Evaluated"
"Arachnothryx_aspera","Not Threatened"
"Arachnothryx_bertieroides","Not Threatened"
"Arachnothryx_brenesii","Not Threatened"
"Arachnothryx_calycosa","Vulnerable"
"Arachnothryx_chaconii","Threatened"
"Arachnothryx_monteverdensis","Not Threatened"
"Arachnothryx_povedae","Threatened"
"Arachnothryx_tayloriae","Threatened"
"Arachnothryx_torresii","Not Threatened"
"Aralia_castanopsiscola","Not Evaluated"
"Araucaria_nemorosa","Threatened"
"Archidendron_whitei","Not Evaluated"
"Ardisia_auriculata","Not Threatened"
"Ardisia_awarum","Not Evaluated"
"Ardisia_blepharodes","Threatened"
"Ardisia_brenesii","Vulnerable"
"Ardisia_cabrerae","Not Threatened"
"Ardisia_calycosa","Not Threatened"
"Ardisia_cartagoana","Threatened"
"Ardisia_caudifera","Not Evaluated"
"Ardisia_colombiana","Not Evaluated"
"Ardisia_copeyana","Not Threatened"
"Ardisia_costaricensis","Not Threatened"
"Ardisia_crassiramea","Threatened"
"Ardisia_dwyeri","Not Evaluated"
"Ardisia_fimbrillifera","Not Threatened"
"Ardisia_furfuracea","Threatened"
"Ardisia_glandulosomarginata","Not Threatened"
"Ardisia_knappiae","Not Evaluated"
"Ardisia_liesneri","Threatened"
"Ardisia_maxonii","Not Threatened"
"Ardisia_opegrapha","Not Threatened"
"Ardisia_palmana","Not Threatened"
"Ardisia_pleurobotrya","Vulnerable"
"Ardisia_rosea","Not Evaluated"
"Ardisia_schippii","Not Evaluated"
"Ardisia_ursina","Not Evaluated"
"Ardisia_websteri","Vulnerable"
"Aspidosperma_thomasii","Threatened"
"Aspidostemon_glandulosus","Threatened"
"Aspidostemon_longipedicellatus","Threatened"
"Astrocaryum_alatum","Not Threatened"
"Astrocaryum_ciliatum","Not Evaluated"
"Astrocaryum_confertum","Threatened"
"Astrocaryum_macrocalyx","Not Threatened"
"Astrotrichilia_voamatata","Threatened"
"Ateleia_herbert-smithii","Threatened"
"Attalea_septuagenata","Not Threatened"
"Axinaea_costaricensis","Not Threatened"
"Axinaea_nitida","Not Threatened"
"Bactris_caudata","Not Threatened"
"Bactris_coloniata","Vulnerable"
"Bactris_coloradonis","Not Evaluated"
"Bactris_dianeura","Not Threatened"
"Bactris_gracilior","Not Threatened"
"Bactris_herrerana","Threatened"
"Bactris_kunorum","DD"
"Bactris_longiseta","Threatened"
"Bactris_militaris","Threatened"
